Dataset,MajorityClass,Grassland,Forest,Cropland,Wetland,Built-up,Water,Bareland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LCP_M_R,Shrubland,174,95,32,29,38,4,21,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCP_M_R,Grassland,0,329,129,72,50,11,54,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCP_M_R,Non_Wetland,11,9,3,5,1,1,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCP_M_R,Bareland,167,81,39,3,29,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCP_M_R,Cropland,602,373,0,12,138,6,115,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCP_M_R,Wetland,283,152,5,0,4,44,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCP_M_R,Water,669,495,2,250,8,0,143,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCP_M_R,Forest,776,0,214,160,102,58,79,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCP_M_R,Built-up,146,90,28,0,0,0,33,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCP_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCP_M_R,Non_Wetland,9,2,0,18,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCP_M_R,Shrubland,83,22,0,76,3,6,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCP_M_R,Grassland,0,104,0,309,15,63,78,167,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCP_M_R,Cropland,591,184,0,282,52,22,104,267,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCP_M_R,Wetland,157,5,0,0,0,78,0,8,0,0,0
