Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LND_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LND_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LND_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LND_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LND_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LND_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LND_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LND_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
86,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Water
130,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
134,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
150,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Cropland
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
205,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
212,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
213,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
214,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
215,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
216,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,NULL
217,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
239,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
240,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
242,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
243,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
246,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
247,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
250,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
251,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Water
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Cropland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,NULL
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Forest
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Shrubland,NULL
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Shrubland,Grassland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Shrubland,Forest
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,NULL
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Cropland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Forest
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Water,Grassland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Water,Forest
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,NULL
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Cropland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,NULL
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
