Dataset,MajorityClass,Grassland,Bareland,Water,Forest,Built-up,Wetland,Cropland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LFL_M_R,Shrubland,318,63,119,211,56,138,19,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFL_M_R,Non_Wetland,8,1,1,8,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFL_M_R,Grassland,0,93,129,297,63,137,96,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFL_M_R,Bareland,133,0,19,76,37,6,14,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFL_M_R,Built-up,196,69,15,153,0,3,36,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFL_M_R,Water,1180,169,0,788,4,677,48,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFL_M_R,Forest,893,129,413,0,104,360,86,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFL_M_R,Cropland,402,133,39,274,100,28,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFL_M_R,Wetland,311,5,130,154,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFL_M_R,Non_Water,1,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFL_M_R,Non_Wetland,5,0,4,4,0,13,0,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFL_M_R,Shrubland,118,23,57,44,8,52,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFL_M_R,Grassland,0,31,109,126,28,161,0,352,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFL_M_R,Cropland,503,80,31,92,36,19,0,272,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFL_M_R,Wetland,151,0,259,55,0,0,0,357,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFL_M_R,Bareland,154,0,18,4,15,3,0,61,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFL_M_R,Built-up,117,71,11,14,0,0,0,101,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFL_M_R,Water,779,15,0,316,31,145,0,1000,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFL_M_R,Forest,770,149,414,0,49,319,0,1263,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFL_M_R,Non_Water,1,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFL_M_R,Wetland,0,0,79,0,0,0,0,0,676,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFL_M_R,Shrubland,0,0,0,0,0,0,0,0,318,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFL_M_R,Grassland,0,0,94,0,0,73,0,0,396,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFL_M_R,Forest,0,0,208,0,0,218,0,0,989,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFL_M_R,Water,0,0,0,0,0,379,0,0,611,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFL_M_R,Built-up,0,0,17,0,0,3,0,0,4,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFL_M_R,Cropland,0,0,16,0,0,4,0,0,62,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFL_M_R,Bareland,0,0,14,0,0,2,0,0,14,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFL_M_R,Non_Wetland,6,9,0,0,0,11,0,11,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFL_M_R,Grassland,0,218,95,63,39,95,98,311,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFL_M_R,Wetland,139,337,95,10,0,0,0,481,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFL_M_R,Water,554,1039,0,150,8,290,2,1111,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFL_M_R,Forest,856,843,287,0,42,284,116,1137,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFL_M_R,Bareland,141,0,6,0,15,0,38,29,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFL_M_R,Non_Water,1,0,1,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFL_M_R,Shrubland,129,112,35,17,16,44,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFL_M_R,Built-up,151,118,0,8,0,2,15,66,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFL_M_R,Cropland,429,199,19,26,58,8,0,143,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFL_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFL_M_R,Grassland,0,0,290,0,0,0,0,0,0,92,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFL_M_R,Shrubland,0,0,120,0,0,0,0,0,0,45,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFL_M_R,Wetland,0,0,205,0,0,0,0,0,0,161,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFL_M_R,Water,0,0,0,0,0,0,0,0,0,679,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFL_M_R,Bareland,0,0,15,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFL_M_R,Cropland,0,0,37,0,0,0,0,0,0,15,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFL_M_R,Built-up,0,0,10,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFL_M_R,Forest,0,0,571,0,0,0,0,0,0,218,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFL_M_R,Grassland,0,63,94,455,97,73,478,618,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFL_M_R,Wetland,0,15,79,270,5,0,54,140,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFL_M_R,Bareland,1,0,14,55,51,2,154,173,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFL_M_R,Water,17,170,0,700,30,379,473,796,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFL_M_R,Forest,173,134,208,0,111,218,581,817,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFL_M_R,Built-up,19,5,17,35,0,3,129,161,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFL_M_R,Cropland,25,1,16,177,53,4,0,287,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFL_M_R,Shrubland,9,10,0,51,11,0,48,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0
