Dataset,MajorityClass,Forest,Built-up,Bareland,Wetland,Cropland,Water,Grassland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LGJ_M_R,Grassland,210,47,98,14,19,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGJ_M_R,Cropland,73,18,5,0,0,0,75,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGJ_M_R,Non_Wetland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGJ_M_R,Bareland,16,7,0,1,0,10,37,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGJ_M_R,Built-up,58,0,10,0,2,0,69,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGJ_M_R,Water,385,1,154,36,0,0,280,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGJ_M_R,Shrubland,4,2,0,1,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGJ_M_R,Wetland,52,0,6,0,0,25,70,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGJ_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGJ_M_R,Forest,0,22,21,23,4,89,198,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGJ_M_R,Permanent_ice_and_snow,1,0,0,1,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGJ_M_R,Grassland,0,0,0,56,0,26,0,69,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGJ_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGJ_M_R,Cropland,0,0,0,1,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGJ_M_R,Bareland,0,0,0,11,0,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGJ_M_R,Forest,0,0,0,197,0,77,0,144,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGJ_M_R,Wetland,0,0,0,0,0,4,0,18,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGJ_M_R,Built-up,0,0,0,1,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGJ_M_R,Water,0,0,0,213,0,0,0,43,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGJ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGJ_M_R,Grassland,22,23,77,17,0,75,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGJ_M_R,Cropland,6,17,23,1,0,4,100,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGJ_M_R,Non_Wetland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGJ_M_R,Bareland,0,2,0,1,0,5,55,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGJ_M_R,Built-up,7,0,30,0,0,0,51,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGJ_M_R,Water,48,0,26,80,0,0,397,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGJ_M_R,Forest,0,29,28,128,0,89,391,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGJ_M_R,Shrubland,0,0,2,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGJ_M_R,Wetland,3,0,1,0,0,4,36,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGJ_M_R,Forest,0,40,123,10,1,165,344,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGJ_M_R,Non_Wetland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGJ_M_R,Grassland,22,56,165,2,2,98,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGJ_M_R,Shrubland,0,1,2,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGJ_M_R,Cropland,1,38,54,2,0,5,70,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGJ_M_R,Water,50,5,104,0,0,0,289,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGJ_M_R,Wetland,11,1,9,0,0,14,33,0,0,0,0,0
