Dataset,MajorityClass,Forest,Built-up,Bareland,Cropland,Water,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MWQ_M_R,Grassland,233,51,13,5,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWQ_M_R,Non_Wetland,3,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWQ_M_R,Wetland,206,3,25,0,91,0,204,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWQ_M_R,Bareland,212,31,0,0,95,2,323,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWQ_M_R,Built-up,89,0,12,0,3,0,109,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWQ_M_R,Water,552,1,119,0,0,124,434,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWQ_M_R,Forest,0,59,40,0,151,26,374,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWQ_M_R,Shrubland,15,2,1,0,2,4,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWQ_M_R,Cropland,53,32,2,0,0,0,63,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWQ_M_R,Grassland,92,38,116,0,26,84,0,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWQ_M_R,Non_Wetland,1,0,0,0,0,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWQ_M_R,Bareland,29,19,0,0,81,46,99,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWQ_M_R,Built-up,9,0,58,0,4,11,51,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWQ_M_R,Water,195,7,371,0,0,255,208,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWQ_M_R,Forest,0,56,398,0,269,376,379,21,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWQ_M_R,Shrubland,2,3,3,0,7,13,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWQ_M_R,Cropland,32,13,18,0,1,4,71,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWQ_M_R,Wetland,54,0,80,0,170,0,71,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWQ_M_R,Grassland,0,0,0,0,8,47,0,0,203,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWQ_M_R,Wetland,0,0,0,0,1,0,0,0,69,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWQ_M_R,Forest,0,0,0,0,80,298,0,0,554,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWQ_M_R,Bareland,0,0,0,0,25,139,0,0,134,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWQ_M_R,Water,0,0,0,0,0,430,0,0,359,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWQ_M_R,Shrubland,0,0,0,0,0,0,0,0,21,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWQ_M_R,Cropland,0,0,0,0,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWQ_M_R,Built-up,0,0,0,0,0,0,0,0,12,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWQ_M_R,Non_Wetland,0,1,1,0,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWQ_M_R,Forest,0,57,702,0,216,138,480,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWQ_M_R,Grassland,29,47,237,0,26,57,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWQ_M_R,Built-up,0,0,94,0,3,1,42,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWQ_M_R,Water,81,0,732,0,0,83,170,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWQ_M_R,Shrubland,0,1,21,0,2,4,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWQ_M_R,Wetland,22,1,279,0,97,0,98,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWQ_M_R,Cropland,0,9,81,0,1,5,55,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWQ_M_R,Bareland,3,2,0,0,58,2,20,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWQ_M_R,Bareland,0,0,0,0,213,0,0,0,0,80,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWQ_M_R,Shrubland,0,0,0,0,2,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWQ_M_R,Water,0,0,0,0,0,0,0,0,0,245,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWQ_M_R,Grassland,0,0,0,0,40,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWQ_M_R,Wetland,0,0,0,0,149,0,0,0,0,89,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWQ_M_R,Built-up,0,0,0,0,2,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWQ_M_R,Forest,0,0,0,0,272,0,0,0,0,138,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWQ_M_R,Grassland,98,79,56,86,8,47,0,185,0,0,24,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWQ_M_R,Forest,0,127,202,108,80,298,161,329,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWQ_M_R,Wetland,4,4,4,0,1,0,2,40,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWQ_M_R,Bareland,79,157,0,129,25,139,40,126,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWQ_M_R,Water,125,124,191,40,0,430,62,308,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWQ_M_R,Built-up,19,0,3,40,0,0,23,45,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWQ_M_R,Cropland,12,12,4,0,0,0,3,25,0,0,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWQ_M_R,Grassland,78,68,0,199,59,83,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWQ_M_R,Forest,0,96,1,108,357,176,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWQ_M_R,Bareland,102,75,0,54,221,95,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWQ_M_R,Built-up,1,0,4,19,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWQ_M_R,Water,71,10,47,16,0,229,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWQ_M_R,Wetland,48,9,5,16,100,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWQ_M_R,Cropland,3,2,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWQ_M_R,Forest,0,0,19,38,72,0,34,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWQ_M_R,Bareland,145,0,0,17,105,7,12,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWQ_M_R,Wetland,271,0,22,15,130,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWQ_M_R,Water,459,0,122,12,0,50,8,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWQ_M_R,Built-up,67,0,22,14,4,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWQ_M_R,Grassland,177,0,51,70,73,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWQ_M_R,Cropland,5,0,5,0,2,0,0,0,0,0,0,0
