Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Forest,Wetland,Non_Water,Shrubland,Cropland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NZE_M_R,Shrubland,3,3,1,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZE_M_R,Grassland,0,4,0,3,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZE_M_R,Wetland,58,27,1,27,35,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZE_M_R,Bareland,37,0,1,10,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZE_M_R,Built-up,15,11,0,3,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZE_M_R,Water,85,69,2,0,64,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZE_M_R,Forest,78,62,8,28,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZE_M_R,Cropland,18,6,1,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZE_M_R,Shrubland,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZE_M_R,Grassland,0,0,0,10,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZE_M_R,Wetland,0,0,0,45,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZE_M_R,Built-up,0,0,0,17,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZE_M_R,Water,0,0,0,0,0,0,49,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZE_M_R,Forest,0,0,0,72,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZE_M_R,Bareland,0,0,0,39,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZE_M_R,Cropland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZE_M_R,Water,8,4,7,0,41,43,0,57,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZE_M_R,Cropland,0,0,1,0,6,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZE_M_R,Wetland,0,0,0,3,7,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZE_M_R,Bareland,12,0,2,6,27,9,0,41,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZE_M_R,Built-up,5,0,0,0,5,2,0,15,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZE_M_R,Forest,26,1,11,13,0,31,0,68,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZE_M_R,Grassland,0,0,0,1,9,6,0,12,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZE_M_R,Forest,0,15,33,32,0,35,0,0,10,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZE_M_R,Water,0,32,29,0,17,46,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZE_M_R,Wetland,0,6,10,17,8,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZE_M_R,Built-up,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZE_M_R,Grassland,0,1,12,4,7,6,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZE_M_R,Cropland,0,1,3,1,3,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZE_M_R,Bareland,0,0,3,10,16,6,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZE_M_R,Wetland,0,0,0,3,0,0,0,0,0,26,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZE_M_R,Built-up,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZE_M_R,Water,0,0,0,0,0,43,0,0,0,20,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZE_M_R,Forest,0,0,0,13,0,31,0,0,0,36,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZE_M_R,Grassland,0,0,0,1,0,6,0,0,0,6,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZE_M_R,Cropland,0,0,0,0,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZE_M_R,Bareland,0,0,0,6,0,9,0,0,0,5,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZE_M_R,Water,3,27,0,0,61,17,0,0,7,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZE_M_R,Wetland,8,13,0,22,29,0,0,0,5,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZE_M_R,Forest,9,19,0,15,0,3,0,0,12,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZE_M_R,Grassland,0,3,0,2,10,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZE_M_R,Built-up,0,2,0,1,5,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZE_M_R,Bareland,0,0,0,2,6,0,0,0,2,0,0
