Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20KRA_M_R,Shrubland,3,2,3,2,1,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KRA_M_R,Grassland,0,13,22,14,4,14,27,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KRA_M_R,Cropland,100,0,36,74,32,48,82,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KRA_M_R,Wetland,95,37,0,38,1,61,70,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KRA_M_R,Lichens_and_Mosses,1,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KRA_M_R,Bareland,101,18,28,0,17,46,55,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KRA_M_R,Built-up,20,10,2,17,0,8,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KRA_M_R,Water,193,51,83,137,7,0,151,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KRA_M_R,Forest,92,28,38,47,26,36,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KRA_M_R,Permanent_ice_and_snow,11,0,0,11,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KRA_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KRA_M_R,Grassland,0,0,5,0,0,6,0,24,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KRA_M_R,Cropland,0,0,19,0,0,19,0,65,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KRA_M_R,Bareland,0,0,29,0,0,21,0,55,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KRA_M_R,Built-up,0,0,1,0,0,2,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KRA_M_R,Forest,0,0,29,0,0,24,0,80,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KRA_M_R,Wetland,0,0,0,0,0,8,0,169,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KRA_M_R,Water,0,0,63,0,0,0,0,79,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KRA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,5,0,0,0,0
