Dataset,MajorityClass,Forest,Cropland,Bareland,Built-up,Water,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LWK_M_R,Grassland,490,109,58,62,65,30,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWK_M_R,Non_Wetland,13,0,0,1,3,2,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWK_M_R,Water,916,5,123,17,0,103,732,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWK_M_R,Shrubland,78,1,7,21,4,6,123,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWK_M_R,Cropland,350,0,53,59,7,0,461,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWK_M_R,Wetland,527,0,25,3,295,0,463,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWK_M_R,Bareland,264,30,0,64,84,11,392,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWK_M_R,Built-up,151,20,66,0,10,0,241,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWK_M_R,Forest,0,43,35,80,228,67,786,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWK_M_R,Non_Water,3,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWK_M_R,Lichens_and_Mosses,4,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWK_M_R,Non_Wetland,3,0,5,0,4,15,2,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWK_M_R,Shrubland,23,0,44,3,23,32,52,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWK_M_R,Grassland,133,0,232,46,150,233,0,40,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWK_M_R,Cropland,103,0,173,32,20,102,466,57,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWK_M_R,Bareland,14,0,0,60,79,64,277,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWK_M_R,Built-up,31,0,107,0,18,22,155,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWK_M_R,Water,164,0,366,31,0,478,790,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWK_M_R,Forest,0,0,556,65,417,709,1018,140,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWK_M_R,Non_Water,0,0,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWK_M_R,Wetland,94,0,159,1,302,0,338,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWK_M_R,Lichens_and_Mosses,0,0,1,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWK_M_R,Grassland,34,155,489,85,38,164,0,216,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWK_M_R,Non_Wetland,0,0,5,0,3,13,2,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWK_M_R,Wetland,10,2,288,3,209,0,186,159,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWK_M_R,Forest,0,112,786,70,335,603,783,598,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWK_M_R,Bareland,2,35,0,29,14,14,123,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWK_M_R,Water,73,2,783,97,0,543,298,221,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWK_M_R,Non_Water,0,0,2,0,0,0,1,2,0,0,0,0
