Dataset,MajorityClass,Grassland,Forest,Wetland,Built-up,Cropland,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LEQ_M_R,Shrubland,240,119,47,27,23,21,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEQ_M_R,Non_Wetland,16,11,12,1,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEQ_M_R,Grassland,0,386,112,78,152,86,30,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEQ_M_R,Forest,1208,0,365,79,88,90,197,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEQ_M_R,Cropland,498,264,5,86,0,80,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEQ_M_R,Wetland,1048,554,0,17,22,76,210,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEQ_M_R,Bareland,418,118,9,38,34,0,75,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEQ_M_R,Built-up,221,102,0,0,33,71,6,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEQ_M_R,Water,924,744,427,8,17,189,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEQ_M_R,Non_Water,1,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEQ_M_R,Permanent_ice_and_snow,1,1,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEQ_M_R,Non_Wetland,13,5,19,0,0,2,2,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEQ_M_R,Shrubland,98,38,90,6,0,17,22,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEQ_M_R,Grassland,0,229,420,29,0,70,72,227,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEQ_M_R,Cropland,506,158,269,20,0,64,5,131,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEQ_M_R,Wetland,484,357,0,0,0,49,442,377,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEQ_M_R,Bareland,234,104,120,26,0,0,168,67,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEQ_M_R,Built-up,115,12,37,0,0,59,19,23,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEQ_M_R,Water,692,386,552,29,0,20,0,223,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEQ_M_R,Forest,1050,0,935,39,0,156,392,604,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEQ_M_R,Non_Water,1,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEQ_M_R,Permanent_ice_and_snow,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEQ_M_R,Wetland,0,0,0,0,0,0,42,0,722,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEQ_M_R,Shrubland,0,0,0,0,0,0,0,0,204,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEQ_M_R,Grassland,0,0,152,0,0,0,32,0,869,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEQ_M_R,Forest,0,0,735,0,0,0,186,0,1736,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEQ_M_R,Bareland,0,0,295,0,0,0,53,0,148,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEQ_M_R,Water,0,0,847,0,0,0,0,0,660,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEQ_M_R,Cropland,0,0,3,0,0,0,7,0,362,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEQ_M_R,Built-up,0,0,10,0,0,0,12,0,57,0,0
