Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Water,Grassland,Non_Wetland,Shrubland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MKT_M_R,Grassland,92,2,1,5,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKT_M_R,Non_Wetland,5,0,0,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKT_M_R,Wetland,191,0,4,0,96,399,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKT_M_R,Bareland,43,0,0,1,16,170,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKT_M_R,Water,275,31,15,0,0,417,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKT_M_R,Shrubland,2,0,0,0,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKT_M_R,Cropland,38,0,1,8,1,90,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKT_M_R,Built-up,99,2,4,0,14,176,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKT_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKT_M_R,Forest,0,0,2,12,105,494,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKT_M_R,Permanent_ice_and_snow,0,0,0,0,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKT_M_R,Grassland,0,21,0,0,5,0,238,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKT_M_R,Wetland,0,0,0,0,5,0,141,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKT_M_R,Forest,0,189,0,0,55,0,831,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKT_M_R,Water,0,327,0,0,0,0,268,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKT_M_R,Shrubland,0,0,0,0,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKT_M_R,Cropland,0,0,0,0,0,0,74,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKT_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
