Dataset,MajorityClass,Grassland,Wetland,Water,Bareland,Forest,Built-up,Non_Wetland,Shrubland,Lichens_and_Mosses,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLE_M_R,Non_Wetland,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLE_M_R,Shrubland,3,2,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLE_M_R,Grassland,0,3,1,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLE_M_R,Wetland,37,0,53,6,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLE_M_R,Bareland,14,23,11,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLE_M_R,Built-up,23,10,2,14,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLE_M_R,Water,37,88,0,15,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLE_M_R,Forest,80,78,28,42,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLE_M_R,Permanent_ice_and_snow,1,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLE_M_R,Non_Wetland,1,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLE_M_R,Grassland,0,15,3,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLE_M_R,Bareland,3,17,36,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLE_M_R,Shrubland,2,3,2,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLE_M_R,Wetland,16,0,90,10,7,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLE_M_R,Built-up,5,16,3,14,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLE_M_R,Water,7,84,0,10,9,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLE_M_R,Forest,50,122,77,40,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLE_M_R,Permanent_ice_and_snow,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLE_M_R,Wetland,0,0,8,0,0,0,138,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLE_M_R,Shrubland,0,0,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLE_M_R,Grassland,0,0,0,0,0,0,25,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLE_M_R,Bareland,0,6,2,0,0,0,33,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLE_M_R,Built-up,0,0,0,0,0,0,25,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLE_M_R,Forest,0,26,6,0,0,0,195,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLE_M_R,Water,0,27,0,0,0,0,109,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLE_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLE_M_R,Grassland,0,0,0,4,6,3,0,12,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLE_M_R,Wetland,17,0,8,28,23,21,0,24,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLE_M_R,Bareland,4,6,2,0,9,9,0,9,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLE_M_R,Water,33,27,0,32,31,21,0,31,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLE_M_R,Built-up,0,0,0,1,5,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLE_M_R,Forest,26,26,6,37,0,28,0,55,2,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLE_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLE_M_R,Grassland,0,6,0,0,2,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLE_M_R,Water,0,38,0,41,12,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLE_M_R,Wetland,0,0,55,26,35,14,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLE_M_R,Bareland,0,0,7,0,1,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLE_M_R,Permanent_ice_and_snow,0,1,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLE_M_R,Forest,0,30,48,9,0,19,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLE_M_R,Wetland,30,0,37,21,105,0,0,0,0,0,21
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLE_M_R,Water,7,18,0,31,66,0,0,0,0,0,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLE_M_R,Forest,3,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLE_M_R,Grassland,0,1,0,0,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLE_M_R,Built-up,0,0,0,1,8,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLE_M_R,Bareland,0,0,1,0,11,0,0,0,0,0,1
