Dataset,MajorityClass,Grassland,Wetland,Water,Forest,Bareland,Non_Wetland,Shrubland,Built-up,Lichens_and_Mosses,Cropland
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWV_M_R,Non_Wetland,1,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWV_M_R,Shrubland,3,4,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWV_M_R,Grassland,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWV_M_R,Wetland,22,0,60,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWV_M_R,Bareland,7,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWV_M_R,Built-up,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWV_M_R,Forest,49,62,39,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWV_M_R,Water,17,45,0,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWV_M_R,Cropland,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWV_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWV_M_R,Non_Wetland,1,2,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWV_M_R,Grassland,0,2,1,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWV_M_R,Water,8,64,0,28,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWV_M_R,Shrubland,2,2,1,3,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWV_M_R,Wetland,26,0,44,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWV_M_R,Bareland,1,8,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWV_M_R,Built-up,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWV_M_R,Forest,35,64,56,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWV_M_R,Cropland,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWV_M_R,Permanent_ice_and_snow,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWV_M_R,Wetland,0,0,13,0,0,95,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWV_M_R,Shrubland,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWV_M_R,Grassland,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWV_M_R,Bareland,0,0,2,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWV_M_R,Built-up,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWV_M_R,Forest,0,23,12,0,0,132,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWV_M_R,Water,0,20,0,0,0,72,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWV_M_R,Cropland,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWV_M_R,Grassland,0,0,0,2,4,0,5,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWV_M_R,Wetland,2,0,13,18,19,0,26,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWV_M_R,Bareland,0,0,2,0,0,0,2,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWV_M_R,Water,6,20,0,20,22,0,20,10,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWV_M_R,Forest,32,23,12,0,36,0,45,14,4,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWV_M_R,Cropland,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWV_M_R,Water,0,39,0,10,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWV_M_R,Grassland,0,0,2,3,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWV_M_R,Wetland,0,0,50,12,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWV_M_R,Forest,0,35,52,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWV_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWV_M_R,Wetland,3,0,30,65,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWV_M_R,Forest,3,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWV_M_R,Water,0,19,0,57,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWV_M_R,Grassland,0,0,0,4,1,0,0,0,0,0
