Dataset,MajorityClass,Forest,Built-up,Grassland,Bareland,Water,Wetland,Non_Wetland,Cropland,Shrubland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_18MXT_M_R,Grassland,30,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXT_M_R,Non_Wetland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXT_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXT_M_R,Cropland,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXT_M_R,Water,154,0,13,18,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXT_M_R,Forest,0,2,78,32,94,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXT_M_R,Built-up,1,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXT_M_R,Wetland,3,0,0,1,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXT_M_R,Bareland,1,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXT_M_R,Non_Wetland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXT_M_R,Forest,0,0,141,68,149,37,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXT_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXT_M_R,Grassland,0,0,0,20,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXT_M_R,Built-up,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXT_M_R,Water,21,0,29,18,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXT_M_R,Wetland,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXT_M_R,Non_Wetland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXT_M_R,Grassland,5,0,0,5,1,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXT_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXT_M_R,Forest,0,0,73,5,71,157,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXT_M_R,Built-up,0,0,1,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXT_M_R,Bareland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXT_M_R,Water,29,0,24,0,0,73,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXT_M_R,Forest,0,0,0,0,61,73,152,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXT_M_R,Grassland,0,0,0,0,2,0,17,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXT_M_R,Built-up,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXT_M_R,Bareland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXT_M_R,Water,0,0,0,0,0,59,37,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXT_M_R,Grassland,33,2,0,1,2,0,0,14,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXT_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXT_M_R,Bareland,1,0,0,0,0,0,0,1,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXT_M_R,Water,79,3,16,44,0,59,0,0,16,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXT_M_R,Forest,0,3,46,69,61,73,0,18,38,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXT_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXT_M_R,Grassland,14,5,0,0,8,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXT_M_R,Forest,0,7,0,0,138,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXT_M_R,Bareland,1,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXT_M_R,Wetland,5,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXT_M_R,Water,48,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXT_M_R,Water,0,0,0,0,0,0,0,0,0,0,84
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXT_M_R,Grassland,0,0,0,0,3,0,0,0,0,0,3
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXT_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXT_M_R,Forest,0,0,0,0,100,0,0,0,0,0,91
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXT_M_R,Wetland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXT_M_R,Forest,0,0,10,2,14,0,0,8,0,0,0
