Dataset,MajorityClass,Non_Wetland,Wetland,Water,Forest,Bareland,Grassland,Shrubland,Cropland,Built-up,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPF_M_R,Grassland,160,9,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPF_M_R,Wetland,538,0,89,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPF_M_R,Water,397,344,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPF_M_R,Shrubland,12,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPF_M_R,Forest,622,160,58,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPF_M_R,Bareland,62,17,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPF_M_R,Built-up,26,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPF_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPF_M_R,Permanent_ice_and_snow,7,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPF_M_R,Grassland,0,153,21,6,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPF_M_R,Non_Wetland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPF_M_R,Water,0,684,0,45,3,26,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPF_M_R,Shrubland,0,9,0,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPF_M_R,Bareland,0,55,43,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPF_M_R,Wetland,0,0,444,20,3,46,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPF_M_R,Built-up,0,21,2,0,5,3,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPF_M_R,Forest,0,554,266,0,3,76,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPF_M_R,Cropland,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPF_M_R,Permanent_ice_and_snow,0,7,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPF_M_R,Non_Wetland,0,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPF_M_R,Wetland,0,0,587,17,64,190,6,39,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPF_M_R,Water,0,396,0,47,23,184,0,38,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPF_M_R,Shrubland,0,3,3,0,4,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPF_M_R,Forest,0,234,186,0,47,240,1,82,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPF_M_R,Grassland,0,40,13,4,2,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPF_M_R,Bareland,0,12,59,0,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPF_M_R,Built-up,0,8,0,0,6,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPF_M_R,Cropland,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPF_M_R,Permanent_ice_and_snow,0,0,0,0,6,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPF_M_R,Non_Wetland,0,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPF_M_R,Wetland,0,0,132,477,33,526,0,0,5,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPF_M_R,Water,0,333,0,511,47,418,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPF_M_R,Grassland,0,5,4,9,1,0,0,0,7,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPF_M_R,Shrubland,0,0,0,3,0,9,0,0,2,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPF_M_R,Bareland,0,11,17,20,0,33,0,0,1,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPF_M_R,Built-up,0,0,0,9,2,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPF_M_R,Forest,0,27,63,0,0,184,0,0,7,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPF_M_R,Cropland,0,0,1,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPF_M_R,Permanent_ice_and_snow,0,0,0,3,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPF_M_R,Wetland,0,0,492,0,0,0,0,0,0,275,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPF_M_R,Grassland,0,0,63,0,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPF_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPF_M_R,Water,0,0,0,0,0,0,0,0,0,314,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPF_M_R,Forest,0,0,187,0,0,0,0,0,0,104,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPF_M_R,Bareland,0,0,32,0,0,0,0,0,0,12,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPF_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPF_M_R,Grassland,0,9,3,30,3,0,63,2,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPF_M_R,Wetland,0,0,89,104,85,75,167,0,53,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPF_M_R,Forest,0,160,58,0,49,106,169,20,43,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPF_M_R,Bareland,0,17,0,15,0,12,37,2,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPF_M_R,Water,0,344,0,191,44,106,153,18,63,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPF_M_R,Built-up,0,0,0,3,0,2,15,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPF_M_R,Cropland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,5,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPF_M_R,Wetland,0,0,189,206,66,0,0,8,88,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPF_M_R,Water,0,273,0,166,162,0,0,1,41,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPF_M_R,Grassland,0,9,9,55,7,0,0,0,16,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPF_M_R,Forest,0,108,183,0,5,0,0,6,35,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPF_M_R,Shrubland,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPF_M_R,Bareland,0,8,3,4,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPF_M_R,Cropland,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPF_M_R,Wetland,0,0,160,473,244,66,0,39,0,0,170
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPF_M_R,Water,0,80,0,392,325,30,0,33,0,0,92
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPF_M_R,Forest,0,7,18,0,11,7,0,5,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPF_M_R,Grassland,0,6,5,59,15,0,0,17,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPF_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPF_M_R,Built-up,0,0,0,2,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPF_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0
