Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LVM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LVM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LVM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LVM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LVM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LVM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,Water
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
27,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
31,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
32,NULL,NULL,Shrubland,Water,Non_Wetland,Water
33,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
35,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
40,NULL,NULL,Grassland,NULL,Non_Wetland,Water
41,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
48,NULL,NULL,Grassland,Water,Non_Wetland,NULL
49,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
50,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
51,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
52,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
53,NULL,NULL,Grassland,Water,Non_Wetland,Built-up
54,NULL,NULL,Grassland,Water,Non_Wetland,Water
55,NULL,NULL,Grassland,Water,Non_Wetland,Forest
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
57,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
58,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
59,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
60,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
61,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
62,NULL,NULL,Cropland,NULL,Non_Wetland,Water
63,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
68,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
69,NULL,NULL,Cropland,Water,Non_Wetland,NULL
70,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
71,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
72,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
73,NULL,NULL,Cropland,Water,Non_Wetland,Built-up
74,NULL,NULL,Cropland,Water,Non_Wetland,Forest
75,NULL,NULL,Wetland,NULL,Wetland,NULL
76,NULL,NULL,Wetland,NULL,Wetland,Grassland
77,NULL,NULL,Wetland,NULL,Wetland,Wetland
78,NULL,NULL,Wetland,NULL,Wetland,Bareland
79,NULL,NULL,Wetland,NULL,Wetland,Water
80,NULL,NULL,Wetland,NULL,Wetland,Forest
81,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
82,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
83,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
84,NULL,NULL,Wetland,Non_Water,Wetland,Forest
85,NULL,NULL,Wetland,Water,Wetland,NULL
86,NULL,NULL,Wetland,Water,Wetland,Grassland
87,NULL,NULL,Wetland,Water,Wetland,Wetland
88,NULL,NULL,Wetland,Water,Wetland,Bareland
89,NULL,NULL,Wetland,Water,Wetland,Water
90,NULL,NULL,Wetland,Water,Wetland,Forest
91,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
92,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
93,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
94,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
95,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
96,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
97,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
98,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
99,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
100,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
101,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
102,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
103,NULL,NULL,Bareland,NULL,Non_Wetland,Water
104,NULL,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
105,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
106,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
107,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
108,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
109,NULL,NULL,Bareland,Water,Non_Wetland,NULL
110,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
111,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
112,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
113,NULL,NULL,Bareland,Water,Non_Wetland,Water
114,NULL,NULL,Bareland,Water,Non_Wetland,Forest
115,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
116,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
117,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
118,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
