Dataset,MajorityClass,Grassland,Wetland,Forest,Shrubland,Water,Bareland,Cropland,Built-up,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUB_M_R,Non_Wetland,13,3,3,6,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUB_M_R,Shrubland,64,15,18,0,4,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUB_M_R,Grassland,0,85,50,109,31,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUB_M_R,Cropland,376,24,66,147,13,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUB_M_R,Wetland,662,0,125,338,335,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUB_M_R,Bareland,70,0,5,9,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUB_M_R,Water,457,176,62,90,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUB_M_R,Forest,663,172,0,426,107,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUB_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUB_M_R,Built-up,41,0,7,13,0,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUB_M_R,Permanent_ice_and_snow,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUB_M_R,Non_Wetland,3,23,8,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUB_M_R,Grassland,0,393,218,0,22,50,77,17,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUB_M_R,Shrubland,74,129,103,0,1,7,21,18,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUB_M_R,Cropland,203,247,219,0,10,55,0,51,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUB_M_R,Wetland,197,0,416,0,272,20,29,2,0,0,0,0
