Dataset,MajorityClass,Grassland,Built-up,Forest,Water,Bareland,Wetland,Shrubland,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NMH_M_R,Bareland,98,1,108,35,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMH_M_R,Shrubland,5,0,3,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMH_M_R,Grassland,0,0,33,4,4,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMH_M_R,Wetland,11,0,22,4,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMH_M_R,Forest,193,0,0,58,53,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMH_M_R,Cropland,3,0,3,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMH_M_R,Water,74,0,110,0,70,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMH_M_R,Built-up,1,0,3,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMH_M_R,Shrubland,0,0,2,0,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMH_M_R,Grassland,0,0,29,0,59,27,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMH_M_R,Forest,55,0,0,17,385,65,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMH_M_R,Cropland,0,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMH_M_R,Wetland,2,0,6,0,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMH_M_R,Water,0,0,25,0,367,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMH_M_R,Built-up,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMH_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMH_M_R,Shrubland,6,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMH_M_R,Forest,209,0,0,44,140,24,32,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMH_M_R,Grassland,0,0,8,0,17,15,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMH_M_R,Cropland,1,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMH_M_R,Wetland,27,0,3,3,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMH_M_R,Water,97,0,42,0,115,0,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMH_M_R,Bareland,47,0,8,3,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMH_M_R,Built-up,4,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMH_M_R,Grassland,0,0,43,1,0,10,45,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMH_M_R,Forest,72,0,0,27,0,58,133,44,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMH_M_R,Wetland,3,0,5,0,0,0,5,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMH_M_R,Bareland,41,1,129,25,0,28,97,56,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMH_M_R,Water,27,0,122,0,0,48,45,19,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMH_M_R,Built-up,0,0,3,0,0,0,1,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMH_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMH_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMH_M_R,Wetland,0,0,0,0,0,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMH_M_R,Bareland,0,0,0,25,0,28,0,0,33,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMH_M_R,Forest,0,0,0,27,0,58,0,0,127,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMH_M_R,Grassland,0,0,0,1,0,10,0,0,56,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMH_M_R,Water,0,0,0,0,0,48,0,0,27,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMH_M_R,Bareland,0,0,0,64,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMH_M_R,Grassland,0,0,0,22,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMH_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMH_M_R,Wetland,0,0,0,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMH_M_R,Forest,0,0,0,80,0,0,0,0,0,7,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMH_M_R,Water,0,0,0,0,0,0,0,0,0,9,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMH_M_R,Bareland,0,75,36,69,0,25,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMH_M_R,Grassland,0,10,26,12,1,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMH_M_R,Water,0,22,25,0,15,29,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMH_M_R,Forest,0,45,0,136,7,45,0,4,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMH_M_R,Wetland,0,2,3,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMH_M_R,Cropland,0,2,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMH_M_R,Bareland,1,0,41,52,0,9,0,10,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMH_M_R,Forest,22,0,0,70,22,14,0,26,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMH_M_R,Wetland,9,0,18,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMH_M_R,Water,7,0,91,0,11,14,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMH_M_R,Grassland,0,0,50,10,0,4,0,8,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMH_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0
