Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LMF_M_R,Shrubland,259,70,105,86,115,45,11,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMF_M_R,Grassland,0,62,51,16,51,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMF_M_R,Non_Wetland,10,2,0,0,4,5,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMF_M_R,Bareland,261,72,0,110,51,15,6,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMF_M_R,Cropland,473,0,278,180,196,20,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMF_M_R,Wetland,41,1,9,1,18,0,19,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMF_M_R,Water,190,52,77,7,67,155,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMF_M_R,Built-up,157,58,61,0,53,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMF_M_R,Forest,362,91,70,81,0,85,40,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMF_M_R,Permanent_ice_and_snow,7,1,6,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMF_M_R,Non_Wetland,0,0,1,0,4,21,3,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMF_M_R,Shrubland,68,0,55,9,39,77,31,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMF_M_R,Grassland,0,0,51,5,17,48,9,154,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMF_M_R,Cropland,344,0,301,45,184,40,26,593,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMF_M_R,Wetland,1,0,1,0,7,0,38,38,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMF_M_R,Bareland,96,0,0,21,75,33,18,216,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMF_M_R,Forest,190,0,123,18,0,344,32,561,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMF_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMF_M_R,Water,2,0,36,5,22,143,0,215,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMF_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMF_M_R,Built-up,57,0,131,0,32,32,18,164,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMF_M_R,Permanent_ice_and_snow,8,0,4,0,0,9,0,14,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMF_M_R,Shrubland,0,0,0,0,0,0,0,0,180,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMF_M_R,Wetland,0,0,0,0,0,0,13,0,283,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMF_M_R,Grassland,0,0,0,0,0,1,1,0,66,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMF_M_R,Forest,0,0,0,0,0,10,12,0,545,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMF_M_R,Bareland,0,0,0,0,0,0,40,0,54,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMF_M_R,Water,0,0,0,0,0,31,0,0,158,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMF_M_R,Cropland,0,0,0,0,0,0,47,0,85,0,0
