Dataset,MajorityClass,Grassland,Forest,Wetland,Built-up,Bareland,Water,Cropland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23MMQ_M_R,Shrubland,82,65,20,24,13,4,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMQ_M_R,Grassland,0,507,217,127,121,70,155,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMQ_M_R,Non_Wetland,2,4,7,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMQ_M_R,Bareland,258,177,15,29,0,120,62,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMQ_M_R,Built-up,274,227,7,0,53,5,71,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMQ_M_R,Water,793,909,533,31,206,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMQ_M_R,Forest,875,0,335,155,72,182,98,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMQ_M_R,Cropland,364,294,10,96,83,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMQ_M_R,Wetland,285,280,0,14,22,84,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMQ_M_R,Lichens_and_Mosses,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMQ_M_R,Permanent_ice_and_snow,0,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMQ_M_R,Non_Wetland,2,2,1,0,0,2,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMQ_M_R,Shrubland,43,31,0,11,8,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMQ_M_R,Grassland,0,398,29,98,128,68,0,149,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMQ_M_R,Cropland,368,265,1,69,126,3,0,55,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMQ_M_R,Bareland,162,105,8,33,0,65,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMQ_M_R,Built-up,146,104,15,0,115,16,0,44,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMQ_M_R,Water,713,570,90,67,78,0,0,46,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMQ_M_R,Forest,794,0,74,196,159,225,0,247,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMQ_M_R,Wetland,290,267,0,17,19,121,0,40,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMQ_M_R,Lichens_and_Mosses,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMQ_M_R,Permanent_ice_and_snow,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMQ_M_R,Shrubland,0,0,0,0,0,0,0,0,34,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMQ_M_R,Grassland,0,0,137,0,0,54,0,0,506,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMQ_M_R,Wetland,0,0,0,0,0,7,0,0,256,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMQ_M_R,Forest,0,0,397,0,0,158,0,0,798,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMQ_M_R,Cropland,0,0,8,0,0,1,0,0,40,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMQ_M_R,Water,0,0,499,0,0,0,0,0,623,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMQ_M_R,Bareland,0,0,65,0,0,7,0,0,34,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMQ_M_R,Built-up,0,0,22,0,0,7,0,0,45,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMQ_M_R,Grassland,0,162,184,85,394,91,132,93,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMQ_M_R,Forest,933,0,361,162,680,213,104,166,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMQ_M_R,Non_Wetland,4,2,6,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMQ_M_R,Wetland,241,70,0,8,126,96,5,26,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMQ_M_R,Built-up,142,26,25,0,245,9,10,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMQ_M_R,Water,442,227,465,31,512,0,50,51,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMQ_M_R,Shrubland,32,14,17,13,48,5,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMQ_M_R,Bareland,34,4,7,22,0,13,29,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMQ_M_R,Cropland,247,49,26,99,292,0,0,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMQ_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMQ_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMQ_M_R,Grassland,0,0,0,0,0,221,0,0,0,79,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMQ_M_R,Built-up,0,0,0,0,0,16,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMQ_M_R,Shrubland,0,0,0,0,0,5,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMQ_M_R,Bareland,0,0,0,0,0,41,0,0,0,32,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMQ_M_R,Forest,0,0,0,0,0,315,0,0,0,219,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMQ_M_R,Wetland,0,0,0,0,0,144,0,0,0,110,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMQ_M_R,Water,0,0,0,0,0,0,0,0,0,425,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMQ_M_R,Cropland,0,0,0,0,0,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMQ_M_R,Grassland,0,341,137,120,142,54,165,408,0,0,20,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMQ_M_R,Bareland,157,78,65,59,0,7,53,157,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMQ_M_R,Built-up,156,88,22,0,16,7,92,177,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMQ_M_R,Forest,652,0,397,186,276,158,180,609,0,0,33,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMQ_M_R,Cropland,232,209,8,88,20,1,0,246,0,0,1,0
