Dataset,MajorityClass,Grassland,Wetland,Forest,Cropland,Water,Built-up,Non_Wetland,Shrubland,Bareland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LNJ_M_R,Shrubland,1,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNJ_M_R,Grassland,0,7,6,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNJ_M_R,Cropland,6,0,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNJ_M_R,Wetland,7,0,11,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNJ_M_R,Bareland,5,0,4,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNJ_M_R,Forest,30,12,0,6,8,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNJ_M_R,Built-up,4,0,4,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNJ_M_R,Water,10,12,18,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNJ_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNJ_M_R,Grassland,0,4,0,0,1,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNJ_M_R,Forest,0,15,0,0,5,0,18,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNJ_M_R,Wetland,0,0,0,0,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNJ_M_R,Water,0,14,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LNJ_M_R,Built-up,1,0,1,3,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LNJ_M_R,Forest,11,15,0,10,5,6,0,9,10,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LNJ_M_R,Grassland,0,4,9,2,1,0,0,4,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LNJ_M_R,Water,0,14,12,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LNJ_M_R,Cropland,1,0,2,0,0,1,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LNJ_M_R,Wetland,2,0,2,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LNJ_M_R,Bareland,1,0,2,2,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LNJ_M_R,Grassland,0,0,4,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LNJ_M_R,Cropland,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LNJ_M_R,Forest,0,4,0,1,12,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LNJ_M_R,Wetland,0,0,1,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LNJ_M_R,Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LNJ_M_R,Grassland,0,0,0,0,5,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LNJ_M_R,Wetland,0,0,0,0,6,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LNJ_M_R,Water,0,0,0,0,0,0,0,0,0,0,14,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LNJ_M_R,Forest,0,0,0,0,17,0,0,0,0,0,7,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LNJ_M_R,Cropland,1,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LNJ_M_R,Wetland,5,0,13,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LNJ_M_R,Water,7,0,13,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LNJ_M_R,Forest,6,2,0,2,2,0,0,0,2,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LNJ_M_R,Grassland,0,1,1,1,0,0,0,0,1,0,0,0
