Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KHB_M_R,Shrubland,170,49,94,18,10,32,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHB_M_R,Grassland,0,153,165,12,9,20,18,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHB_M_R,Non_Wetland,15,8,9,2,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHB_M_R,Bareland,240,82,109,8,0,53,85,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHB_M_R,Built-up,374,176,312,6,156,0,111,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHB_M_R,Water,692,188,802,207,195,76,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHB_M_R,Forest,1111,363,0,203,91,251,461,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHB_M_R,Cropland,1011,0,627,83,219,268,212,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHB_M_R,Wetland,402,64,321,0,8,16,251,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHB_M_R,Non_Water,1,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHB_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHB_M_R,Non_Wetland,3,0,3,22,3,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHB_M_R,Shrubland,27,0,30,59,27,13,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHB_M_R,Grassland,0,0,114,220,28,38,33,65,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHB_M_R,Cropland,298,0,377,656,336,367,283,217,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHB_M_R,Bareland,2,0,18,45,0,65,153,2,0,0,0,0
