Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Grassland,Water,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MLT_M_R,Grassland,126,3,1,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLT_M_R,Non_Wetland,8,0,0,0,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLT_M_R,Wetland,260,0,0,0,507,123,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLT_M_R,Bareland,35,0,0,2,113,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLT_M_R,Water,324,42,8,1,511,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLT_M_R,Shrubland,6,0,0,1,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLT_M_R,Cropland,38,0,1,8,84,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLT_M_R,Built-up,109,2,6,0,183,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLT_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLT_M_R,Forest,0,4,2,14,492,125,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLT_M_R,Permanent_ice_and_snow,0,0,0,0,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLT_M_R,Non_Wetland,1,9,2,0,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLT_M_R,Grassland,40,257,101,0,0,37,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLT_M_R,Bareland,3,32,0,1,43,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLT_M_R,Forest,0,705,182,12,308,292,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLT_M_R,Water,74,492,55,21,89,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLT_M_R,Shrubland,1,9,4,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLT_M_R,Built-up,3,79,111,0,65,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLT_M_R,Cropland,10,51,23,1,45,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLT_M_R,Wetland,19,0,43,3,75,138,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLT_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLT_M_R,Permanent_ice_and_snow,0,9,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLT_M_R,Grassland,0,44,0,0,0,6,0,328,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLT_M_R,Wetland,0,0,0,0,0,13,0,196,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLT_M_R,Forest,0,183,0,0,0,53,0,992,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLT_M_R,Water,0,342,0,0,0,0,0,366,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLT_M_R,Shrubland,0,0,0,0,0,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLT_M_R,Cropland,0,0,0,0,0,0,0,57,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLT_M_R,Bareland,0,27,0,0,0,0,0,44,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLT_M_R,Built-up,0,19,0,0,0,5,0,113,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLT_M_R,Non_Wetland,0,7,3,1,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLT_M_R,Forest,0,485,276,89,399,229,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLT_M_R,Grassland,1,106,142,73,0,30,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLT_M_R,Water,36,297,119,56,117,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLT_M_R,Shrubland,0,4,5,3,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLT_M_R,Cropland,0,6,56,25,37,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLT_M_R,Wetland,8,0,131,19,127,169,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLT_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLT_M_R,Bareland,0,3,0,1,5,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLT_M_R,Built-up,1,37,79,0,51,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLT_M_R,Permanent_ice_and_snow,0,0,4,5,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLT_M_R,Grassland,0,0,0,0,0,155,0,0,20,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLT_M_R,Wetland,0,0,0,0,0,335,0,0,127,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLT_M_R,Bareland,0,0,0,0,0,39,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLT_M_R,Shrubland,0,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLT_M_R,Cropland,0,0,0,0,0,15,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLT_M_R,Built-up,0,0,0,0,0,90,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLT_M_R,Water,0,0,0,0,0,0,0,0,206,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLT_M_R,Forest,0,0,0,0,0,316,0,0,102,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLT_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLT_M_R,Grassland,114,44,26,96,0,6,84,0,0,133,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLT_M_R,Forest,0,183,135,156,158,53,163,0,0,156,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLT_M_R,Wetland,27,0,19,24,24,13,40,0,0,17,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLT_M_R,Bareland,11,27,0,40,2,0,11,0,0,33,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLT_M_R,Built-up,26,19,1,0,7,5,29,0,0,52,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLT_M_R,Water,122,342,91,73,123,0,82,0,0,63,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLT_M_R,Cropland,15,0,0,15,1,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLT_M_R,Permanent_ice_and_snow,4,0,0,1,0,0,2,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLT_M_R,Grassland,100,18,0,117,0,56,0,0,0,105,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLT_M_R,Forest,0,102,0,181,0,251,0,0,0,58,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLT_M_R,Built-up,1,1,0,0,0,1,0,0,0,15,0,0
