Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_36PYB_M_R,Shrubland,1,1,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYB_M_R,Grassland,0,3,2,1,3,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYB_M_R,Cropland,72,0,55,19,63,21,19,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYB_M_R,Lichens_and_Mosses,1,1,1,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYB_M_R,Bareland,47,38,0,16,21,1,13,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYB_M_R,Built-up,11,13,12,0,8,0,1,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYB_M_R,Forest,23,6,7,0,0,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYB_M_R,Wetland,21,14,9,0,47,0,4,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYB_M_R,Water,57,55,62,0,63,17,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PYB_M_R,Grassland,0,0,0,0,0,0,6,3,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PYB_M_R,Cropland,0,0,0,0,0,0,86,20,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PYB_M_R,Bareland,0,0,0,0,0,0,55,10,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PYB_M_R,Built-up,0,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PYB_M_R,Wetland,0,0,0,0,0,0,20,13,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PYB_M_R,Water,0,0,0,0,0,0,0,70,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PYB_M_R,Forest,0,0,0,0,0,0,9,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PYB_M_R,Cropland,0,0,0,0,0,20,1,0,36,0,0
AFRICA_2024_GWL_FCS30D_2022_36PYB_M_R,Grassland,0,0,0,0,0,0,0,0,10,0,0
AFRICA_2024_GWL_FCS30D_2022_36PYB_M_R,Bareland,0,0,0,0,0,10,2,0,1,0,0
AFRICA_2024_GWL_FCS30D_2022_36PYB_M_R,Wetland,0,0,0,0,0,0,0,0,41,0,0
AFRICA_2024_GWL_FCS30D_2022_36PYB_M_R,Built-up,0,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_GWL_FCS30D_2022_36PYB_M_R,Water,0,0,0,0,0,36,0,0,26,0,0
AFRICA_2024_GWL_FCS30D_2022_36PYB_M_R,Forest,0,0,0,0,0,7,0,0,7,0,0
AFRICA_2024_GLC_FCS30D_2022_36PYB_M_R,Cropland,57,0,51,42,13,20,1,0,0,43,12
AFRICA_2024_GLC_FCS30D_2022_36PYB_M_R,Bareland,36,31,0,24,1,10,2,0,0,25,8
AFRICA_2024_GLC_FCS30D_2022_36PYB_M_R,Built-up,9,9,7,0,2,0,0,0,0,7,3
AFRICA_2024_GLC_FCS30D_2022_36PYB_M_R,Water,62,69,67,39,4,36,0,0,0,33,1
AFRICA_2024_GLC_FCS30D_2022_36PYB_M_R,Forest,20,35,12,6,0,7,0,0,0,16,3
AFRICA_2024_GLC_FCS30D_2022_36PYB_M_R,Grassland,0,2,0,0,1,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PYB_M_R,Wetland,15,14,4,1,2,0,0,0,0,3,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYB_M_R,Grassland,0,13,3,13,1,1,6,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYB_M_R,Bareland,0,34,0,23,0,0,25,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYB_M_R,Built-up,0,2,2,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYB_M_R,Forest,0,28,0,15,0,3,12,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYB_M_R,Cropland,0,0,30,36,9,1,29,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYB_M_R,Wetland,0,17,1,15,0,0,23,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYB_M_R,Water,0,59,27,27,0,8,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PYB_M_R,Cropland,2,0,20,0,18,14,22,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PYB_M_R,Water,0,17,12,0,1,6,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PYB_M_R,Grassland,0,10,8,0,6,7,7,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PYB_M_R,Wetland,0,14,6,0,2,0,24,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PYB_M_R,Bareland,0,17,0,0,1,0,14,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PYB_M_R,Built-up,0,12,8,0,1,1,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PYB_M_R,Forest,0,4,1,0,0,1,0,0,0,0,0
