Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Water,Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AFRICA_2024_WorldCover_2021_37PBS_M_R,Shrubland,3,2,2,2,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBS_M_R,Grassland,0,4,2,2,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBS_M_R,Cropland,84,0,47,49,12,25,8,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBS_M_R,Lichens_and_Mosses,1,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBS_M_R,Bareland,51,34,0,24,10,14,1,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBS_M_R,Built-up,12,7,8,9,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBS_M_R,Forest,59,32,19,0,0,10,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBS_M_R,Water,47,43,37,28,0,0,1,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBS_M_R,Wetland,12,1,2,4,0,10,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBS_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBS_M_R,Grassland,0,0,0,0,0,8,0,4,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBS_M_R,Cropland,0,0,0,0,0,77,0,21,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBS_M_R,Bareland,0,0,0,0,0,36,0,12,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBS_M_R,Wetland,0,0,0,0,0,14,0,3,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBS_M_R,Water,0,0,0,0,0,0,0,46,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBS_M_R,Forest,0,0,0,0,0,6,0,11,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PBS_M_R,Water,38,42,44,24,20,0,28,0,29,1,0
AFRICA_2024_GLC_FCS30D_2022_37PBS_M_R,Cropland,62,0,44,36,25,1,13,0,46,18,0
AFRICA_2024_GLC_FCS30D_2022_37PBS_M_R,Bareland,43,33,0,16,18,1,5,0,26,11,0
AFRICA_2024_GLC_FCS30D_2022_37PBS_M_R,Built-up,7,5,6,2,0,0,0,0,7,5,0
AFRICA_2024_GLC_FCS30D_2022_37PBS_M_R,Forest,38,41,26,0,9,4,3,0,32,11,0
AFRICA_2024_GLC_FCS30D_2022_37PBS_M_R,Grassland,0,2,0,0,0,0,0,0,3,0,0
AFRICA_2024_GLC_FCS30D_2022_37PBS_M_R,Wetland,2,9,2,5,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBS_M_R,Grassland,0,12,5,5,4,6,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBS_M_R,Water,0,33,11,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBS_M_R,Bareland,0,36,0,20,17,37,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBS_M_R,Built-up,0,2,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBS_M_R,Forest,0,42,2,0,19,10,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBS_M_R,Cropland,0,0,21,34,22,28,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBS_M_R,Wetland,0,7,1,0,0,3,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PBS_M_R,Water,0,0,0,0,0,0,28,0,0,0,2
AFRICA_2024_GWL_FCS30D_2022_37PBS_M_R,Cropland,0,0,0,0,0,1,13,0,0,0,28
AFRICA_2024_GWL_FCS30D_2022_37PBS_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,19
AFRICA_2024_GWL_FCS30D_2022_37PBS_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,4
AFRICA_2024_GWL_FCS30D_2022_37PBS_M_R,Bareland,0,0,0,0,0,1,5,0,0,0,1
AFRICA_2024_GWL_FCS30D_2022_37PBS_M_R,Forest,0,0,0,0,0,4,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBS_M_R,Cropland,6,0,28,26,0,17,20,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBS_M_R,Water,0,22,24,5,0,0,4,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBS_M_R,Grassland,0,11,9,8,0,3,4,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBS_M_R,Wetland,0,6,4,3,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBS_M_R,Bareland,0,16,0,3,0,4,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBS_M_R,Built-up,0,7,8,2,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBS_M_R,Forest,0,16,10,0,0,5,0,0,0,0,0
