Dataset,MajorityClass,Grassland,Wetland,Built-up,Forest,Water,Bareland,Cropland,Non_Wetland,Non_Water,Shrubland
AFRICA_2024_WorldCover_2021_35NNE_M_R,Shrubland,1,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNE_M_R,Cropland,12,0,5,5,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNE_M_R,Wetland,44,0,0,33,4,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNE_M_R,Bareland,3,0,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNE_M_R,Built-up,8,0,0,6,0,1,1,0,0,0
AFRICA_2024_WorldCover_2021_35NNE_M_R,Forest,49,12,15,0,9,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNE_M_R,Water,39,18,1,45,0,16,2,0,0,0
AFRICA_2024_WorldCover_2021_35NNE_M_R,Grassland,0,3,0,5,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NNE_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_GWL_FCS30D_2022_35NNE_M_R,Forest,0,18,0,0,4,0,0,37,0,0
AFRICA_2024_GWL_FCS30D_2022_35NNE_M_R,Wetland,0,0,0,0,1,0,0,52,0,0
AFRICA_2024_GWL_FCS30D_2022_35NNE_M_R,Grassland,0,4,0,0,0,0,0,5,0,0
AFRICA_2024_GWL_FCS30D_2022_35NNE_M_R,Water,0,24,0,0,0,0,0,22,0,0
AFRICA_2024_GSW_Yearly_2021_35NNE_M_R,Wetland,0,0,0,0,10,0,0,0,5,0
AFRICA_2024_GSW_Yearly_2021_35NNE_M_R,Bareland,0,0,0,0,2,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NNE_M_R,Forest,0,0,0,0,27,0,0,0,11,0
AFRICA_2024_GSW_Yearly_2021_35NNE_M_R,Grassland,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NNE_M_R,Water,0,0,0,0,0,0,0,0,27,0
AFRICA_2024_GLC_FCS30D_2022_35NNE_M_R,Cropland,0,0,2,8,0,0,0,0,0,2
AFRICA_2024_GLC_FCS30D_2022_35NNE_M_R,Wetland,0,0,4,22,1,6,2,0,0,14
AFRICA_2024_GLC_FCS30D_2022_35NNE_M_R,Bareland,0,0,0,1,0,0,0,0,0,3
AFRICA_2024_GLC_FCS30D_2022_35NNE_M_R,Built-up,0,0,0,4,0,0,5,0,0,6
AFRICA_2024_GLC_FCS30D_2022_35NNE_M_R,Water,3,24,8,32,0,10,7,0,0,33
AFRICA_2024_GLC_FCS30D_2022_35NNE_M_R,Forest,6,18,12,0,4,20,22,0,0,31
AFRICA_2024_GLC_FCS30D_2022_35NNE_M_R,Grassland,0,4,1,8,0,4,7,0,0,6
AFRICA_2024_ESRI_Annual_LULC_2024_35NNE_M_R,Wetland,0,0,0,13,27,0,4,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NNE_M_R,Forest,0,14,19,0,28,0,11,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NNE_M_R,Grassland,0,2,0,10,3,0,1,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NNE_M_R,Built-up,0,0,0,2,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NNE_M_R,Water,0,10,0,7,0,4,2,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NNE_M_R,Cropland,0,0,5,2,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NNE_M_R,Wetland,8,0,0,11,16,0,3,0,0,0
AFRICA_2024_DynamicWorld_2024_35NNE_M_R,Water,3,9,0,14,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NNE_M_R,Forest,16,12,0,0,13,0,7,0,0,0
AFRICA_2024_DynamicWorld_2024_35NNE_M_R,Grassland,0,0,0,1,0,0,1,0,0,0
AFRICA_2024_DynamicWorld_2024_35NNE_M_R,Built-up,0,0,0,7,0,0,6,0,0,0
AFRICA_2024_DynamicWorld_2024_35NNE_M_R,Cropland,0,0,0,1,0,0,0,0,0,0
