Value,AFRICA_2024_DynamicWorld_2024_35NMD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NMD_M_R,AFRICA_2024_GLC_FCS30D_2022_35NMD_M_R,AFRICA_2024_GSW_Yearly_2021_35NMD_M_R,AFRICA_2024_GWL_FCS30D_2022_35NMD_M_R,AFRICA_2024_WorldCover_2021_35NMD_M_R
125,NULL,Water,Wetland,Water,Wetland,Forest
126,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
127,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
128,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
129,NULL,Water,Bareland,NULL,Non_Wetland,Water
130,NULL,Water,Bareland,NULL,Non_Wetland,Forest
131,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland
132,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
133,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
134,NULL,Water,Bareland,Water,Non_Wetland,Wetland
135,NULL,Water,Bareland,Water,Non_Wetland,Bareland
136,NULL,Water,Bareland,Water,Non_Wetland,Water
137,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
138,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
139,NULL,Water,Built-up,NULL,Non_Wetland,Water
140,NULL,Water,Built-up,NULL,Non_Wetland,Forest
141,NULL,Water,Built-up,Non_Water,Non_Wetland,Wetland
142,NULL,Water,Built-up,Water,Non_Wetland,Wetland
143,NULL,Water,Built-up,Water,Non_Wetland,Bareland
144,NULL,Water,Built-up,Water,Non_Wetland,Water
145,NULL,Water,Water,NULL,Water,NULL
146,NULL,Water,Water,NULL,Water,Grassland
147,NULL,Water,Water,NULL,Water,Wetland
148,NULL,Water,Water,NULL,Water,Bareland
149,NULL,Water,Water,NULL,Water,Water
150,NULL,Water,Water,NULL,Water,Forest
151,NULL,Water,Water,Non_Water,Water,NULL
152,NULL,Water,Water,Non_Water,Water,Wetland
153,NULL,Water,Water,Non_Water,Water,Bareland
154,NULL,Water,Water,Non_Water,Water,Water
155,NULL,Water,Water,Non_Water,Water,Forest
156,NULL,Water,Water,Water,Water,NULL
157,NULL,Water,Water,Water,Water,Grassland
158,NULL,Water,Water,Water,Water,Wetland
159,NULL,Water,Water,Water,Water,Bareland
160,NULL,Water,Water,Water,Water,Water
161,NULL,Water,Water,Water,Water,Forest
162,NULL,Water,Forest,NULL,Non_Wetland,NULL
163,NULL,Water,Forest,NULL,Non_Wetland,Grassland
164,NULL,Water,Forest,NULL,Non_Wetland,Wetland
165,NULL,Water,Forest,NULL,Non_Wetland,Bareland
166,NULL,Water,Forest,NULL,Non_Wetland,Water
167,NULL,Water,Forest,NULL,Non_Wetland,Forest
168,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland
169,NULL,Water,Forest,Non_Water,Non_Wetland,Water
170,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
171,NULL,Water,Forest,Water,Non_Wetland,NULL
172,NULL,Water,Forest,Water,Non_Wetland,Grassland
173,NULL,Water,Forest,Water,Non_Wetland,Wetland
174,NULL,Water,Forest,Water,Non_Wetland,Bareland
175,NULL,Water,Forest,Water,Non_Wetland,Water
176,NULL,Water,Forest,Water,Non_Wetland,Forest
177,NULL,Forest,NULL,NULL,Non_Wetland,NULL
178,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
179,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
180,NULL,Forest,NULL,NULL,Non_Wetland,Forest
181,NULL,Forest,NULL,Water,Non_Wetland,Forest
182,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
183,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
184,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
185,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
186,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
187,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
188,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
189,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
190,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
191,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
192,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
193,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
194,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
195,NULL,Forest,Cropland,Water,Non_Wetland,Forest
196,NULL,Forest,Wetland,NULL,Wetland,NULL
197,NULL,Forest,Wetland,NULL,Wetland,Grassland
198,NULL,Forest,Wetland,NULL,Wetland,Water
199,NULL,Forest,Wetland,NULL,Wetland,Forest
200,NULL,Forest,Wetland,Non_Water,Wetland,Water
201,NULL,Forest,Wetland,Non_Water,Wetland,Forest
202,NULL,Forest,Wetland,Water,Wetland,Grassland
203,NULL,Forest,Wetland,Water,Wetland,Water
204,NULL,Forest,Wetland,Water,Wetland,Forest
205,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
206,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
207,NULL,Forest,Bareland,NULL,Non_Wetland,Water
208,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
209,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
210,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
211,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
212,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
213,NULL,Forest,Water,NULL,Water,Grassland
214,NULL,Forest,Water,NULL,Water,Water
215,NULL,Forest,Water,NULL,Water,Forest
216,NULL,Forest,Water,Non_Water,Water,Forest
217,NULL,Forest,Water,Water,Water,Grassland
218,NULL,Forest,Water,Water,Water,Water
219,NULL,Forest,Water,Water,Water,Forest
220,NULL,Forest,Forest,NULL,Non_Wetland,NULL
221,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
222,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
223,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
224,NULL,Forest,Forest,NULL,Non_Wetland,Water
225,NULL,Forest,Forest,NULL,Non_Wetland,Forest
226,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
227,NULL,Forest,Forest,Non_Water,Non_Wetland,Water
228,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
229,NULL,Forest,Forest,Water,Non_Wetland,NULL
230,NULL,Forest,Forest,Water,Non_Wetland,Grassland
231,NULL,Forest,Forest,Water,Non_Wetland,Water
232,NULL,Forest,Forest,Water,Non_Wetland,Forest
233,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
234,Grassland,NULL,Wetland,NULL,Wetland,Grassland
235,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
236,Grassland,Water,Wetland,Non_Water,Wetland,Forest
237,Grassland,Water,Water,Water,Water,Forest
238,Grassland,Forest,Wetland,NULL,Wetland,Grassland
239,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
240,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
241,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
242,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
243,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
244,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
245,Wetland,Water,Wetland,NULL,Wetland,Forest
246,Wetland,Water,Wetland,Water,Wetland,Water
247,Wetland,Water,Water,NULL,Water,Forest
248,Wetland,Forest,Wetland,NULL,Wetland,Forest
249,Water,NULL,Wetland,NULL,Wetland,Grassland
250,Water,NULL,Forest,NULL,Non_Wetland,NULL
251,Water,NULL,Forest,NULL,Non_Wetland,Grassland
252,Water,NULL,Forest,NULL,Non_Wetland,Forest
253,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
254,Water,Water,Shrubland,NULL,Non_Wetland,Water
255,Water,Water,Shrubland,NULL,Non_Wetland,Forest
256,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
257,Water,Water,Shrubland,Water,Non_Wetland,Bareland
258,Water,Water,Shrubland,Water,Non_Wetland,Water
259,Water,Water,Wetland,NULL,Wetland,Grassland
260,Water,Water,Wetland,NULL,Wetland,Wetland
261,Water,Water,Wetland,NULL,Wetland,Bareland
262,Water,Water,Wetland,NULL,Wetland,Water
263,Water,Water,Wetland,NULL,Wetland,Forest
264,Water,Water,Wetland,Non_Water,Wetland,Wetland
265,Water,Water,Wetland,Non_Water,Wetland,Bareland
266,Water,Water,Wetland,Non_Water,Wetland,Water
267,Water,Water,Wetland,Non_Water,Wetland,Forest
268,Water,Water,Wetland,Water,Wetland,Bareland
269,Water,Water,Wetland,Water,Wetland,Water
270,Water,Water,Wetland,Water,Wetland,Forest
271,Water,Water,Built-up,NULL,Non_Wetland,Water
272,Water,Water,Built-up,Water,Non_Wetland,Water
273,Water,Water,Water,NULL,Water,Grassland
274,Water,Water,Water,NULL,Water,Bareland
275,Water,Water,Water,NULL,Water,Water
276,Water,Water,Water,NULL,Water,Forest
277,Water,Water,Water,Non_Water,Water,Water
278,Water,Water,Water,Water,Water,Grassland
279,Water,Water,Water,Water,Water,Wetland
280,Water,Water,Water,Water,Water,Bareland
281,Water,Water,Water,Water,Water,Water
282,Water,Water,Water,Water,Water,Forest
283,Water,Water,Forest,NULL,Non_Wetland,Grassland
284,Water,Water,Forest,NULL,Non_Wetland,Bareland
285,Water,Water,Forest,NULL,Non_Wetland,Water
286,Water,Water,Forest,NULL,Non_Wetland,Forest
287,Water,Water,Forest,Non_Water,Non_Wetland,Water
288,Water,Water,Forest,Non_Water,Non_Wetland,Forest
289,Water,Water,Forest,Water,Non_Wetland,Water
290,Water,Water,Forest,Water,Non_Wetland,Forest
291,Water,Forest,Cropland,NULL,Non_Wetland,Grassland
292,Water,Forest,Cropland,NULL,Non_Wetland,Forest
293,Water,Forest,Wetland,NULL,Wetland,Forest
294,Water,Forest,Forest,NULL,Non_Wetland,NULL
295,Water,Forest,Forest,NULL,Non_Wetland,Grassland
296,Water,Forest,Forest,NULL,Non_Wetland,Forest
297,Forest,NULL,NULL,NULL,Non_Wetland,NULL
298,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
299,Forest,NULL,NULL,NULL,Non_Wetland,Built-up
300,Forest,NULL,NULL,NULL,Non_Wetland,Forest
301,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
302,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
303,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
304,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
305,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
306,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
307,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up
308,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
309,Forest,NULL,Wetland,NULL,Wetland,Grassland
310,Forest,NULL,Wetland,NULL,Wetland,Forest
311,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up
312,Forest,NULL,Forest,NULL,Non_Wetland,NULL
313,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
314,Forest,NULL,Forest,NULL,Non_Wetland,Built-up
315,Forest,NULL,Forest,NULL,Non_Wetland,Forest
316,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
317,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
318,Forest,Water,NULL,NULL,Non_Wetland,Forest
319,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
320,Forest,Water,Shrubland,NULL,Non_Wetland,Built-up
321,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
322,Forest,Water,Shrubland,Non_Water,Non_Wetland,Forest
323,Forest,Water,Grassland,NULL,Non_Wetland,Forest
324,Forest,Water,Wetland,NULL,Wetland,Grassland
325,Forest,Water,Wetland,NULL,Wetland,Wetland
326,Forest,Water,Wetland,NULL,Wetland,Bareland
327,Forest,Water,Wetland,NULL,Wetland,Water
328,Forest,Water,Wetland,NULL,Wetland,Forest
329,Forest,Water,Wetland,Non_Water,Wetland,Forest
330,Forest,Water,Wetland,Water,Wetland,Water
331,Forest,Water,Wetland,Water,Wetland,Forest
332,Forest,Water,Water,NULL,Water,Water
333,Forest,Water,Water,NULL,Water,Forest
334,Forest,Water,Water,Non_Water,Water,Water
335,Forest,Water,Water,Water,Water,Bareland
336,Forest,Water,Water,Water,Water,Water
337,Forest,Water,Water,Water,Water,Forest
338,Forest,Water,Forest,NULL,Non_Wetland,Grassland
339,Forest,Water,Forest,NULL,Non_Wetland,Water
340,Forest,Water,Forest,NULL,Non_Wetland,Forest
341,Forest,Water,Forest,Non_Water,Non_Wetland,Forest
342,Forest,Water,Forest,Water,Non_Wetland,Water
343,Forest,Water,Forest,Water,Non_Wetland,Forest
344,Forest,Forest,NULL,NULL,Non_Wetland,NULL
345,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
346,Forest,Forest,NULL,NULL,Non_Wetland,Built-up
347,Forest,Forest,NULL,NULL,Non_Wetland,Forest
348,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
349,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
350,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
351,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
352,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
353,Forest,Forest,Cropland,NULL,Non_Wetland,Built-up
354,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
355,Forest,Forest,Wetland,NULL,Wetland,Grassland
356,Forest,Forest,Wetland,NULL,Wetland,Water
357,Forest,Forest,Wetland,NULL,Wetland,Forest
358,Forest,Forest,Wetland,Non_Water,Wetland,Water
359,Forest,Forest,Wetland,Non_Water,Wetland,Forest
360,Forest,Forest,Wetland,Water,Wetland,Water
361,Forest,Forest,Wetland,Water,Wetland,Forest
362,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
363,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
364,Forest,Forest,Built-up,NULL,Non_Wetland,Built-up
365,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
366,Forest,Forest,Water,NULL,Water,Forest
367,Forest,Forest,Water,Non_Water,Water,Forest
368,Forest,Forest,Water,Water,Water,Water
369,Forest,Forest,Water,Water,Water,Forest
370,Forest,Forest,Forest,NULL,Non_Wetland,NULL
371,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
372,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
373,Forest,Forest,Forest,NULL,Non_Wetland,Water
374,Forest,Forest,Forest,NULL,Non_Wetland,Forest
375,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
376,Forest,Forest,Forest,Water,Non_Wetland,Forest
