Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AFRICA_2024_WorldCover_2021_38PLC_M_R,Shrubland,3,2,2,1,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PLC_M_R,Grassland,0,3,3,1,0,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PLC_M_R,Cropland,19,0,30,14,3,21,1,0,0,0,0
AFRICA_2024_WorldCover_2021_38PLC_M_R,Wetland,2,0,3,0,2,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PLC_M_R,Lichens_and_Mosses,1,1,1,1,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PLC_M_R,Bareland,15,29,0,11,4,8,1,0,0,0,0
AFRICA_2024_WorldCover_2021_38PLC_M_R,Built-up,12,10,11,0,4,8,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PLC_M_R,Water,9,16,14,0,0,6,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PLC_M_R,Forest,19,17,9,2,1,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PLC_M_R,Shrubland,0,0,0,0,3,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PLC_M_R,Grassland,0,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PLC_M_R,Cropland,0,0,0,0,12,0,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PLC_M_R,Wetland,0,0,0,0,4,0,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PLC_M_R,Bareland,0,0,0,0,14,0,0,2,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PLC_M_R,Built-up,0,0,0,0,4,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PLC_M_R,Forest,0,0,0,0,5,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PLC_M_R,Water,0,0,0,0,0,0,0,4,0,0,0
AFRICA_2024_GLC_FCS30D_2022_38PLC_M_R,Water,4,18,21,5,0,3,4,0,5,2,0
AFRICA_2024_GLC_FCS30D_2022_38PLC_M_R,Cropland,15,0,25,14,0,14,2,0,14,13,0
AFRICA_2024_GLC_FCS30D_2022_38PLC_M_R,Wetland,0,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_38PLC_M_R,Bareland,15,30,0,15,0,5,0,0,16,10,0
AFRICA_2024_GLC_FCS30D_2022_38PLC_M_R,Built-up,6,8,8,0,0,5,0,0,6,5,0
AFRICA_2024_GLC_FCS30D_2022_38PLC_M_R,Forest,9,17,14,11,0,0,0,0,10,4,0
AFRICA_2024_GLC_FCS30D_2022_38PLC_M_R,Grassland,0,2,0,0,0,2,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PLC_M_R,Bareland,0,0,0,0,0,0,0,0,0,0,2
AFRICA_2024_GWL_FCS30D_2022_38PLC_M_R,Forest,0,0,0,0,0,0,0,0,0,0,2
AFRICA_2024_GWL_FCS30D_2022_38PLC_M_R,Cropland,0,0,0,0,0,0,2,0,0,0,2
AFRICA_2024_GWL_FCS30D_2022_38PLC_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,2
AFRICA_2024_GWL_FCS30D_2022_38PLC_M_R,Water,0,0,0,0,0,0,4,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PLC_M_R,Grassland,0,1,1,2,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PLC_M_R,Wetland,0,1,0,0,2,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PLC_M_R,Bareland,0,23,0,21,13,4,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PLC_M_R,Water,0,4,2,1,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PLC_M_R,Built-up,0,2,1,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PLC_M_R,Forest,0,11,0,4,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PLC_M_R,Cropland,0,0,6,17,3,6,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PLC_M_R,Cropland,2,0,17,0,12,8,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PLC_M_R,Grassland,0,2,1,0,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PLC_M_R,Bareland,0,2,0,0,6,2,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PLC_M_R,Forest,0,5,1,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PLC_M_R,Built-up,0,0,9,0,0,0,0,0,0,0,0
