Dataset,MajorityClass,Grassland,Wetland,Bareland,Forest,Non_Wetland,Water,Non_Water,Shrubland,Cropland
AFRICA_2024_WorldCover_2021_36NVM_M_R,Shrubland,3,2,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVM_M_R,Cropland,9,6,0,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVM_M_R,Wetland,9,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVM_M_R,Bareland,6,3,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVM_M_R,Built-up,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVM_M_R,Forest,25,29,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVM_M_R,Grassland,0,12,0,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVM_M_R,Water,5,7,0,1,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVM_M_R,Shrubland,0,0,0,0,2,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVM_M_R,Bareland,0,0,0,0,3,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVM_M_R,Forest,0,2,0,0,30,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVM_M_R,Wetland,0,0,0,0,11,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVM_M_R,Grassland,0,1,0,0,13,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVM_M_R,Cropland,0,0,0,0,6,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVM_M_R,Water,0,0,0,0,7,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NVM_M_R,Shrubland,0,0,0,0,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NVM_M_R,Grassland,0,0,0,0,0,4,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NVM_M_R,Wetland,0,0,0,0,0,5,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NVM_M_R,Water,0,0,0,0,0,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_36NVM_M_R,Forest,0,0,0,0,0,6,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R,Wetland,0,0,2,2,0,0,0,6,0
AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R,Forest,0,2,7,0,0,0,0,28,5
AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R,Grassland,0,1,4,6,0,0,0,17,3
AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R,Cropland,0,0,2,3,0,0,0,10,0
AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R,Bareland,0,0,0,1,0,0,0,4,1
AFRICA_2024_GLC_FCS30D_2022_36NVM_M_R,Water,0,0,2,3,0,0,0,8,0
AFRICA_2024_DynamicWorld_2024_36NVM_M_R,Wetland,3,0,0,6,0,2,0,0,1
AFRICA_2024_DynamicWorld_2024_36NVM_M_R,Forest,7,0,0,0,0,2,0,0,6
AFRICA_2024_DynamicWorld_2024_36NVM_M_R,Grassland,0,0,1,1,0,0,0,0,1
AFRICA_2024_ESRI_Annual_LULC_2024_36NVM_M_R,Grassland,0,1,0,15,0,0,0,0,1
AFRICA_2024_ESRI_Annual_LULC_2024_36NVM_M_R,Wetland,0,0,0,5,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NVM_M_R,Cropland,0,0,0,4,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NVM_M_R,Bareland,0,0,0,2,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NVM_M_R,Water,0,0,0,4,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NVM_M_R,Forest,0,1,0,0,0,0,0,0,0
