Dataset,MajorityClass,Grassland,Bareland,Cropland,Forest,Water,Wetland,Built-up,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AFRICA_2024_WorldCover_2021_37PGR_M_R,Shrubland,1,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGR_M_R,Grassland,0,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGR_M_R,Cropland,6,8,0,3,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGR_M_R,Lichens_and_Mosses,1,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGR_M_R,Bareland,17,0,12,7,10,7,4,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGR_M_R,Built-up,2,3,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGR_M_R,Water,1,29,3,0,0,5,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGR_M_R,Wetland,1,7,7,1,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGR_M_R,Forest,1,1,2,0,0,3,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PGR_M_R,Bareland,0,0,0,0,30,0,0,11,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PGR_M_R,Wetland,0,0,0,0,7,0,0,9,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PGR_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PGR_M_R,Water,0,0,0,0,0,0,0,12,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PGR_M_R,Bareland,27,0,10,0,10,16,21,0,21,5,0
AFRICA_2024_GLC_FCS30D_2022_37PGR_M_R,Built-up,1,3,0,0,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PGR_M_R,Cropland,7,4,0,0,0,0,5,0,5,1,0
AFRICA_2024_GLC_FCS30D_2022_37PGR_M_R,Forest,8,3,6,0,0,2,1,0,1,1,0
AFRICA_2024_GLC_FCS30D_2022_37PGR_M_R,Wetland,7,2,1,0,0,0,1,0,1,0,0
AFRICA_2024_GLC_FCS30D_2022_37PGR_M_R,Water,6,12,0,0,0,24,8,0,4,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGR_M_R,Grassland,0,1,0,0,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGR_M_R,Bareland,0,0,1,2,32,4,10,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGR_M_R,Cropland,0,4,0,3,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGR_M_R,Wetland,0,1,0,0,33,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGR_M_R,Water,0,21,0,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGR_M_R,Bareland,0,0,0,0,4,10,0,0,0,0,14
AFRICA_2024_GWL_FCS30D_2022_37PGR_M_R,Forest,0,0,0,0,0,2,0,0,0,0,3
AFRICA_2024_GWL_FCS30D_2022_37PGR_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,12
AFRICA_2024_GWL_FCS30D_2022_37PGR_M_R,Water,0,0,0,0,0,15,0,0,0,0,4
AFRICA_2024_DynamicWorld_2024_37PGR_M_R,Grassland,0,2,1,1,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGR_M_R,Wetland,0,10,1,2,3,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGR_M_R,Bareland,0,0,6,1,12,3,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGR_M_R,Forest,0,0,2,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGR_M_R,Cropland,0,2,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGR_M_R,Water,0,25,0,2,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGR_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
