Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AFRICA_2024_WorldCover_2021_37NHE_M_R,Shrubland,3,3,1,1,2,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHE_M_R,Grassland,0,25,4,1,34,6,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHE_M_R,Cropland,85,0,31,4,89,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHE_M_R,Wetland,61,27,5,0,69,0,2,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHE_M_R,Bareland,60,53,0,5,58,1,8,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHE_M_R,Built-up,8,7,6,0,14,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHE_M_R,Water,109,103,76,0,139,17,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHE_M_R,Forest,48,32,7,1,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NHE_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NHE_M_R,Grassland,0,0,0,0,0,0,37,9,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NHE_M_R,Cropland,0,0,0,0,0,0,81,29,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NHE_M_R,Wetland,0,0,0,0,0,0,27,7,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NHE_M_R,Bareland,0,0,0,0,0,0,58,27,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NHE_M_R,Built-up,0,0,0,0,0,0,6,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NHE_M_R,Water,0,0,0,0,0,0,0,107,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NHE_M_R,Forest,0,0,0,0,0,0,46,15,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NHE_M_R,Cropland,69,0,38,23,22,25,10,0,71,11,0
AFRICA_2024_GLC_FCS30D_2022_37NHE_M_R,Wetland,27,30,18,9,18,0,2,0,34,0,0
AFRICA_2024_GLC_FCS30D_2022_37NHE_M_R,Bareland,59,44,0,25,11,18,8,0,48,2,0
AFRICA_2024_GLC_FCS30D_2022_37NHE_M_R,Built-up,10,6,4,0,1,0,0,0,7,0,0
AFRICA_2024_GLC_FCS30D_2022_37NHE_M_R,Water,72,67,54,33,30,40,0,0,66,12,0
AFRICA_2024_GLC_FCS30D_2022_37NHE_M_R,Forest,51,53,27,10,0,16,7,0,57,3,0
AFRICA_2024_GLC_FCS30D_2022_37NHE_M_R,Grassland,0,24,8,3,10,3,0,0,32,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NHE_M_R,Grassland,0,39,8,6,49,18,22,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NHE_M_R,Wetland,0,28,1,1,19,0,50,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NHE_M_R,Bareland,0,43,0,17,11,11,52,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NHE_M_R,Built-up,0,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NHE_M_R,Water,0,79,33,17,4,46,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NHE_M_R,Forest,0,51,4,14,0,19,39,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NHE_M_R,Cropland,0,0,18,20,34,13,52,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37NHE_M_R,Cropland,0,0,0,0,0,25,10,0,0,0,31
AFRICA_2024_GWL_FCS30D_2022_37NHE_M_R,Wetland,0,0,0,0,0,0,2,0,0,0,162
AFRICA_2024_GWL_FCS30D_2022_37NHE_M_R,Grassland,0,0,0,0,0,3,0,0,0,0,35
AFRICA_2024_GWL_FCS30D_2022_37NHE_M_R,Forest,0,0,0,0,0,16,7,0,0,0,36
AFRICA_2024_GWL_FCS30D_2022_37NHE_M_R,Water,0,0,0,0,0,40,0,0,0,0,62
AFRICA_2024_GWL_FCS30D_2022_37NHE_M_R,Bareland,0,0,0,0,0,18,8,0,0,0,12
AFRICA_2024_DynamicWorld_2024_37NHE_M_R,Cropland,21,0,26,0,18,16,28,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NHE_M_R,Wetland,3,13,15,0,5,0,11,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NHE_M_R,Water,6,28,44,0,14,16,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NHE_M_R,Forest,14,20,16,0,0,17,15,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NHE_M_R,Grassland,0,13,10,0,10,11,10,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NHE_M_R,Bareland,0,15,0,0,0,0,17,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NHE_M_R,Built-up,0,3,4,0,0,0,0,0,0,0,0
