Value,AFRICA_2024_DynamicWorld_2024_35PMS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PMS_M_R,AFRICA_2024_GLC_FCS30D_2022_35PMS_M_R,AFRICA_2024_GSW_Yearly_2021_35PMS_M_R,AFRICA_2024_GWL_FCS30D_2022_35PMS_M_R,AFRICA_2024_WorldCover_2021_35PMS_M_R
122,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
123,NULL,Bareland,NULL,NULL,Non_Wetland,Cropland
124,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
125,NULL,Bareland,NULL,NULL,Non_Wetland,Built-up
126,NULL,Bareland,NULL,NULL,Non_Wetland,Forest
127,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
128,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
129,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
130,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
131,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
132,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
133,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
134,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
135,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
136,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
137,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
138,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
139,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
140,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
141,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
142,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
143,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
144,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
145,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
146,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
147,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
148,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
149,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
150,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
151,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
152,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
153,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
154,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
155,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
156,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
157,NULL,Bareland,Water,NULL,Water,Bareland
158,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
159,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
160,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
161,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
162,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
163,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
164,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
165,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
166,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
167,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
168,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
169,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
170,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
171,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
172,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
173,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
174,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
175,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
176,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
177,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
178,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
179,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
180,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
181,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
182,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
183,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
184,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
185,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
186,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
187,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
188,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
189,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
190,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
191,NULL,Water,NULL,NULL,Non_Wetland,Grassland
192,NULL,Water,NULL,NULL,Non_Wetland,Bareland
193,NULL,Water,NULL,NULL,Non_Wetland,Water
194,NULL,Water,NULL,Water,Non_Wetland,Water
195,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
196,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
197,NULL,Water,Cropland,NULL,Non_Wetland,Water
198,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
199,NULL,Water,Bareland,NULL,Non_Wetland,Water
200,NULL,Water,Bareland,Water,Non_Wetland,Water
201,NULL,Water,Water,NULL,Water,Water
202,NULL,Water,Forest,NULL,Non_Wetland,Water
203,NULL,Water,Forest,NULL,Non_Wetland,Forest
204,NULL,Forest,NULL,NULL,Non_Wetland,NULL
205,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
206,NULL,Forest,NULL,NULL,Non_Wetland,Forest
207,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
208,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
209,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
210,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
211,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
212,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
213,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
214,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
215,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
216,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
217,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
218,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
219,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
220,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
221,NULL,Forest,Forest,NULL,Non_Wetland,NULL
222,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
223,NULL,Forest,Forest,NULL,Non_Wetland,Forest
224,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
225,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
226,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
227,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
228,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
229,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
230,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
231,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
232,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
233,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
234,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
235,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
236,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
237,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
238,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
239,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
240,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
241,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
242,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
243,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
244,Cropland,Bareland,NULL,NULL,Non_Wetland,Bareland
245,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
246,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
247,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
248,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
249,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
250,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
251,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
252,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
253,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
254,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
255,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
256,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
257,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
258,Bareland,NULL,NULL,Non_Water,Non_Wetland,Grassland
259,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
260,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
261,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
262,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
263,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
264,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
265,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
266,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
267,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
268,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
269,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
270,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
271,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL
272,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
273,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
274,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
275,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
276,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
277,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
278,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
279,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
280,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
281,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
282,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
283,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
284,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
285,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
286,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
287,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
288,Bareland,NULL,Built-up,NULL,Non_Wetland,Forest
289,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
290,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
291,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
292,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
293,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
294,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
295,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
296,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
297,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
298,Bareland,Bareland,Grassland,NULL,Non_Wetland,Cropland
299,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
300,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
301,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
302,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
303,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
304,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
305,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL
306,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
307,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
308,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
309,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
310,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
311,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
312,Forest,NULL,NULL,NULL,Non_Wetland,NULL
313,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
314,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
