Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Non_Wetland,Water,Shrubland,Non_Water
AFRICA_2024_WorldCover_2021_35NNG_M_R,Shrubland,2,1,1,2,1,2,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNG_M_R,Grassland,0,0,1,1,0,3,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNG_M_R,Cropland,22,0,0,2,5,7,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNG_M_R,Wetland,35,0,0,0,0,19,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNG_M_R,Bareland,7,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNG_M_R,Built-up,7,5,0,3,0,5,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNG_M_R,Forest,50,13,10,9,16,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNG_M_R,Water,30,0,17,16,0,27,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NNG_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NNG_M_R,Forest,0,0,16,0,0,0,27,6,0,0
AFRICA_2024_GWL_FCS30D_2022_35NNG_M_R,Grassland,0,0,1,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NNG_M_R,Wetland,0,0,0,0,0,0,33,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NNG_M_R,Water,0,0,18,0,0,0,15,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35NNG_M_R,Cropland,0,0,0,0,4,9,0,0,15,0
AFRICA_2024_GLC_FCS30D_2022_35NNG_M_R,Bareland,0,0,0,0,0,2,0,0,3,0
AFRICA_2024_GLC_FCS30D_2022_35NNG_M_R,Built-up,1,5,0,0,0,5,0,0,7,0
AFRICA_2024_GLC_FCS30D_2022_35NNG_M_R,Water,0,1,18,11,1,23,0,0,33,0
AFRICA_2024_GLC_FCS30D_2022_35NNG_M_R,Forest,2,18,16,11,11,0,0,6,49,0
AFRICA_2024_GLC_FCS30D_2022_35NNG_M_R,Grassland,0,1,1,0,0,6,0,0,6,0
AFRICA_2024_GLC_FCS30D_2022_35NNG_M_R,Wetland,0,0,0,0,0,8,0,0,21,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NNG_M_R,Built-up,0,1,0,0,0,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NNG_M_R,Forest,0,9,3,0,17,0,0,27,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NNG_M_R,Grassland,0,0,0,0,1,6,0,1,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NNG_M_R,Cropland,0,0,0,3,5,5,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NNG_M_R,Wetland,0,0,0,0,0,17,0,26,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NNG_M_R,Bareland,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NNG_M_R,Water,0,0,0,1,0,4,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NNG_M_R,Forest,0,0,0,0,0,0,0,15,0,14
AFRICA_2024_GSW_Yearly_2021_35NNG_M_R,Wetland,0,0,0,0,0,0,0,5,0,9
AFRICA_2024_GSW_Yearly_2021_35NNG_M_R,Bareland,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_35NNG_M_R,Water,0,0,0,0,0,0,0,0,0,31
AFRICA_2024_DynamicWorld_2024_35NNG_M_R,Forest,7,6,15,0,0,0,0,14,0,0
AFRICA_2024_DynamicWorld_2024_35NNG_M_R,Grassland,0,1,0,0,0,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NNG_M_R,Wetland,0,2,0,0,0,8,0,9,0,0
AFRICA_2024_DynamicWorld_2024_35NNG_M_R,Water,0,0,2,0,0,8,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NNG_M_R,Cropland,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NNG_M_R,Built-up,0,0,0,0,0,6,0,0,0,0
