Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Wetland,Water,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_37NBD_M_R,Shrubland,1,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NBD_M_R,Grassland,0,1,2,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NBD_M_R,Cropland,23,0,12,4,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NBD_M_R,Wetland,6,1,0,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NBD_M_R,Bareland,24,4,0,3,2,2,2,0,0,0,0
AFRICA_2024_WorldCover_2021_37NBD_M_R,Built-up,6,0,4,4,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NBD_M_R,Water,18,7,20,5,0,9,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NBD_M_R,Forest,8,0,1,0,0,2,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NBD_M_R,Grassland,0,0,0,0,0,0,6,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NBD_M_R,Bareland,0,0,0,0,0,0,11,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NBD_M_R,Built-up,0,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NBD_M_R,Cropland,0,0,0,0,0,0,9,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NBD_M_R,Wetland,0,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NBD_M_R,Water,0,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37NBD_M_R,Bareland,0,0,0,0,0,1,0,0,4,0,0
AFRICA_2024_GWL_FCS30D_2022_37NBD_M_R,Wetland,0,0,0,0,0,0,0,0,10,0,0
AFRICA_2024_GWL_FCS30D_2022_37NBD_M_R,Water,0,0,0,0,0,3,0,0,7,0,0
AFRICA_2024_GWL_FCS30D_2022_37NBD_M_R,Forest,0,0,0,0,0,1,0,0,2,0,0
AFRICA_2024_GWL_FCS30D_2022_37NBD_M_R,Cropland,0,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_GWL_FCS30D_2022_37NBD_M_R,Grassland,0,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_GLC_FCS30D_2022_37NBD_M_R,Cropland,14,0,18,1,11,0,0,0,0,13,0
AFRICA_2024_GLC_FCS30D_2022_37NBD_M_R,Wetland,3,0,5,0,1,0,0,0,0,1,0
AFRICA_2024_GLC_FCS30D_2022_37NBD_M_R,Bareland,12,2,0,0,13,1,0,0,0,13,0
AFRICA_2024_GLC_FCS30D_2022_37NBD_M_R,Built-up,4,1,6,1,0,0,0,0,0,4,0
AFRICA_2024_GLC_FCS30D_2022_37NBD_M_R,Water,19,4,23,0,14,3,0,0,0,12,0
AFRICA_2024_GLC_FCS30D_2022_37NBD_M_R,Forest,9,4,8,0,3,1,0,0,0,6,1
AFRICA_2024_ESRI_Annual_LULC_2024_37NBD_M_R,Grassland,0,7,5,1,1,0,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NBD_M_R,Wetland,0,2,4,2,1,0,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NBD_M_R,Bareland,0,13,0,0,1,1,4,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NBD_M_R,Water,0,10,6,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NBD_M_R,Cropland,0,0,3,0,0,0,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NBD_M_R,Forest,0,3,1,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NBD_M_R,Grassland,0,4,4,3,0,1,4,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NBD_M_R,Bareland,0,10,0,1,0,1,8,0,0,0,0
