Dataset,MajorityClass,Grassland,Cropland,Bareland,Water,Forest,Built-up,Non_Water,Shrubland,Wetland,Lichens_and_Mosses,Non_Wetland
AFRICA_2024_WorldCover_2021_36QYD_M_R,Shrubland,2,3,3,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QYD_M_R,Grassland,0,5,4,1,4,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QYD_M_R,Cropland,29,0,30,4,37,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QYD_M_R,Wetland,5,10,6,6,8,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QYD_M_R,Lichens_and_Mosses,2,2,3,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QYD_M_R,Bareland,47,45,0,26,23,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QYD_M_R,Built-up,1,3,3,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QYD_M_R,Forest,4,4,3,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QYD_M_R,Water,23,44,37,0,27,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QYD_M_R,Shrubland,0,0,0,2,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QYD_M_R,Grassland,0,0,0,6,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QYD_M_R,Cropland,0,0,0,37,0,0,4,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QYD_M_R,Wetland,0,0,0,14,0,0,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QYD_M_R,Lichens_and_Mosses,0,0,0,2,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QYD_M_R,Bareland,0,0,0,65,0,0,6,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QYD_M_R,Built-up,0,0,0,2,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QYD_M_R,Water,0,0,0,0,0,0,17,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QYD_M_R,Forest,0,0,0,3,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36QYD_M_R,Water,29,42,41,0,0,21,0,26,27,2,0
AFRICA_2024_GLC_FCS30D_2022_36QYD_M_R,Cropland,25,0,20,0,0,11,0,19,3,15,0
AFRICA_2024_GLC_FCS30D_2022_36QYD_M_R,Bareland,34,30,0,0,5,28,0,28,14,14,0
AFRICA_2024_GLC_FCS30D_2022_36QYD_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36QYD_M_R,Forest,7,13,3,0,0,0,0,0,1,3,0
AFRICA_2024_GLC_FCS30D_2022_36QYD_M_R,Grassland,0,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QYD_M_R,Water,0,4,38,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QYD_M_R,Grassland,0,4,5,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QYD_M_R,Wetland,0,5,9,5,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QYD_M_R,Bareland,0,27,0,17,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QYD_M_R,Cropland,0,0,21,6,8,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QYD_M_R,Forest,0,2,0,1,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36QYD_M_R,Cropland,0,0,0,0,0,0,0,0,3,0,0
AFRICA_2024_GWL_FCS30D_2022_36QYD_M_R,Bareland,0,0,0,0,0,0,0,0,14,0,0
AFRICA_2024_GWL_FCS30D_2022_36QYD_M_R,Water,0,0,0,0,0,0,0,0,27,0,0
AFRICA_2024_GWL_FCS30D_2022_36QYD_M_R,Forest,0,0,0,0,0,0,0,0,1,0,1
AFRICA_2024_DynamicWorld_2024_36QYD_M_R,Cropland,3,0,14,9,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36QYD_M_R,Forest,1,2,0,1,0,0,0,0,1,0,0
AFRICA_2024_DynamicWorld_2024_36QYD_M_R,Grassland,0,2,3,2,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36QYD_M_R,Bareland,0,10,0,11,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36QYD_M_R,Wetland,0,0,3,3,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36QYD_M_R,Water,0,0,8,0,0,0,0,0,0,0,0
