Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Cropland
AFRICA_2024_WorldCover_2021_36PVQ_M_R,Shrubland,3,3,1,2,1,3,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVQ_M_R,Grassland,0,40,1,1,11,29,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVQ_M_R,Cropland,48,35,3,3,5,16,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVQ_M_R,Wetland,93,0,1,2,36,70,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVQ_M_R,Bareland,14,8,0,0,0,3,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVQ_M_R,Built-up,14,4,4,0,1,8,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVQ_M_R,Water,82,88,12,0,0,74,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVQ_M_R,Forest,83,70,0,4,24,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PVQ_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PVQ_M_R,Grassland,0,6,0,0,4,0,80,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PVQ_M_R,Cropland,0,1,0,0,0,0,50,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PVQ_M_R,Bareland,0,0,0,0,0,0,8,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PVQ_M_R,Forest,0,22,0,0,7,0,125,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PVQ_M_R,Wetland,0,0,0,0,16,0,220,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PVQ_M_R,Built-up,0,0,0,0,0,0,4,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PVQ_M_R,Water,0,27,0,0,0,0,101,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PVQ_M_R,Shrubland,0,0,0,0,4,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PVQ_M_R,Grassland,0,0,0,0,38,0,0,5,0,0
AFRICA_2024_GSW_Yearly_2021_36PVQ_M_R,Cropland,0,0,0,0,18,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PVQ_M_R,Bareland,0,0,0,0,2,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PVQ_M_R,Built-up,0,0,0,0,5,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PVQ_M_R,Water,0,0,0,0,0,0,0,72,0,0
AFRICA_2024_GSW_Yearly_2021_36PVQ_M_R,Forest,0,0,0,0,67,0,0,20,0,0
AFRICA_2024_GSW_Yearly_2021_36PVQ_M_R,Wetland,0,0,0,0,97,0,0,30,0,0
AFRICA_2024_GLC_FCS30D_2022_36PVQ_M_R,Cropland,4,1,13,3,0,22,0,0,43,0
AFRICA_2024_GLC_FCS30D_2022_36PVQ_M_R,Wetland,1,0,42,4,16,44,0,0,69,18
AFRICA_2024_GLC_FCS30D_2022_36PVQ_M_R,Built-up,6,0,1,0,0,3,0,0,14,3
AFRICA_2024_GLC_FCS30D_2022_36PVQ_M_R,Water,6,27,39,3,0,53,0,0,87,9
AFRICA_2024_GLC_FCS30D_2022_36PVQ_M_R,Forest,9,22,40,4,7,0,0,0,73,19
AFRICA_2024_GLC_FCS30D_2022_36PVQ_M_R,Grassland,0,6,29,3,4,26,0,0,43,12
AFRICA_2024_GLC_FCS30D_2022_36PVQ_M_R,Bareland,0,0,0,0,0,4,0,0,14,1
AFRICA_2024_ESRI_Annual_LULC_2024_36PVQ_M_R,Grassland,0,39,0,7,15,31,0,0,0,20
AFRICA_2024_ESRI_Annual_LULC_2024_36PVQ_M_R,Forest,0,45,0,13,27,0,0,0,0,12
AFRICA_2024_ESRI_Annual_LULC_2024_36PVQ_M_R,Wetland,0,0,0,8,46,49,0,0,0,15
AFRICA_2024_ESRI_Annual_LULC_2024_36PVQ_M_R,Water,0,75,4,9,0,34,0,0,0,20
AFRICA_2024_ESRI_Annual_LULC_2024_36PVQ_M_R,Cropland,0,15,0,10,5,8,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PVQ_M_R,Bareland,0,0,0,0,0,5,0,0,0,1
AFRICA_2024_DynamicWorld_2024_36PVQ_M_R,Water,37,31,0,0,0,24,0,0,0,11
AFRICA_2024_DynamicWorld_2024_36PVQ_M_R,Wetland,49,0,0,0,36,41,0,0,0,28
AFRICA_2024_DynamicWorld_2024_36PVQ_M_R,Forest,25,16,6,0,18,0,0,0,0,18
AFRICA_2024_DynamicWorld_2024_36PVQ_M_R,Grassland,0,3,2,0,2,7,0,0,0,5
AFRICA_2024_DynamicWorld_2024_36PVQ_M_R,Bareland,0,0,0,0,0,0,0,0,0,1
AFRICA_2024_DynamicWorld_2024_36PVQ_M_R,Built-up,0,0,0,0,5,2,0,0,0,3
AFRICA_2024_DynamicWorld_2024_36PVQ_M_R,Cropland,0,0,0,0,0,1,0,0,0,0
