Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_37PDL_M_R,Shrubland,2,3,1,1,1,2,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PDL_M_R,Grassland,0,31,22,14,12,18,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PDL_M_R,Cropland,74,0,32,54,29,47,22,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PDL_M_R,Lichens_and_Mosses,1,1,0,1,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PDL_M_R,Bareland,50,45,0,0,22,31,30,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PDL_M_R,Built-up,17,19,6,16,0,12,5,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PDL_M_R,Water,84,84,31,73,11,57,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PDL_M_R,Forest,70,46,19,48,26,0,9,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PDL_M_R,Wetland,19,25,0,6,1,10,9,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PDL_M_R,Permanent_ice_and_snow,2,1,0,2,0,2,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PDL_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PDL_M_R,Forest,0,0,10,0,0,0,6,22,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PDL_M_R,Cropland,0,0,21,0,0,0,6,64,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PDL_M_R,Wetland,0,0,0,0,0,0,0,69,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PDL_M_R,Built-up,0,0,0,0,0,0,1,9,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PDL_M_R,Water,0,0,25,0,0,0,0,37,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PDL_M_R,Grassland,0,0,2,0,0,0,2,29,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PDL_M_R,Bareland,0,0,8,0,0,0,6,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PDL_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PDL_M_R,Grassland,0,0,0,0,0,0,21,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PDL_M_R,Cropland,0,0,0,0,0,0,89,0,16,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PDL_M_R,Bareland,0,0,0,0,0,0,52,0,20,0,0,0
