Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_37PCQ_M_R,Shrubland,2,2,1,1,1,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCQ_M_R,Grassland,0,11,2,4,0,9,4,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCQ_M_R,Cropland,48,0,35,26,9,38,10,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCQ_M_R,Wetland,4,5,2,0,0,5,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCQ_M_R,Lichens_and_Mosses,1,1,0,0,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCQ_M_R,Bareland,36,30,0,10,8,15,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCQ_M_R,Built-up,12,10,8,0,1,9,5,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCQ_M_R,Water,67,57,41,0,0,51,8,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCQ_M_R,Forest,59,43,30,21,11,0,19,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCQ_M_R,Shrubland,0,0,0,0,3,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCQ_M_R,Cropland,0,0,0,0,17,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCQ_M_R,Bareland,0,0,0,0,16,0,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCQ_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCQ_M_R,Forest,0,0,0,0,46,0,0,2,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCQ_M_R,Grassland,0,0,0,0,2,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCQ_M_R,Wetland,0,0,0,0,5,0,0,3,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCQ_M_R,Water,0,0,0,0,0,0,0,11,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PCQ_M_R,Forest,0,0,0,0,9,0,14,0,21,0,0
AFRICA_2024_GWL_FCS30D_2022_37PCQ_M_R,Cropland,0,0,0,0,2,0,1,0,10,0,0
AFRICA_2024_GWL_FCS30D_2022_37PCQ_M_R,Built-up,0,0,0,0,0,0,0,0,5,0,0
AFRICA_2024_GWL_FCS30D_2022_37PCQ_M_R,Grassland,0,0,0,0,1,0,1,0,4,0,0
AFRICA_2024_GWL_FCS30D_2022_37PCQ_M_R,Wetland,0,0,0,0,0,0,0,0,4,0,0
AFRICA_2024_GWL_FCS30D_2022_37PCQ_M_R,Bareland,0,0,0,0,0,0,2,0,1,0,0
AFRICA_2024_GWL_FCS30D_2022_37PCQ_M_R,Water,0,0,0,0,0,0,15,0,6,0,0
AFRICA_2024_GLC_FCS30D_2022_37PCQ_M_R,Cropland,26,0,36,22,2,38,1,0,0,40,24
AFRICA_2024_GLC_FCS30D_2022_37PCQ_M_R,Bareland,18,20,0,17,0,15,2,0,0,24,8
AFRICA_2024_GLC_FCS30D_2022_37PCQ_M_R,Built-up,7,8,7,0,0,7,0,0,0,10,5
AFRICA_2024_GLC_FCS30D_2022_37PCQ_M_R,Water,14,27,45,24,0,38,15,0,0,37,12
AFRICA_2024_GLC_FCS30D_2022_37PCQ_M_R,Forest,21,29,35,20,9,0,14,0,0,47,19
AFRICA_2024_GLC_FCS30D_2022_37PCQ_M_R,Grassland,0,9,5,5,1,11,1,0,0,13,3
AFRICA_2024_GLC_FCS30D_2022_37PCQ_M_R,Wetland,0,0,3,0,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PCQ_M_R,Grassland,0,26,1,11,1,11,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PCQ_M_R,Bareland,0,33,0,21,28,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PCQ_M_R,Built-up,0,4,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PCQ_M_R,Forest,0,44,1,36,41,0,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PCQ_M_R,Cropland,0,0,7,38,23,21,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PCQ_M_R,Water,0,33,4,4,0,39,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PCQ_M_R,Wetland,0,3,0,0,6,2,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PCQ_M_R,Cropland,15,0,17,0,15,17,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PCQ_M_R,Wetland,2,3,0,0,7,11,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PCQ_M_R,Bareland,2,5,0,0,8,3,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PCQ_M_R,Water,4,7,4,0,0,17,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PCQ_M_R,Forest,11,14,4,0,16,0,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PCQ_M_R,Built-up,1,11,7,0,0,11,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PCQ_M_R,Grassland,0,4,4,0,2,3,0,0,0,0,0
