Dataset,MajorityClass,Grassland,Built-up,Forest,Bareland,Water,Wetland,Non_Water,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_35NND_M_R,Shrubland,1,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NND_M_R,Grassland,0,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NND_M_R,Cropland,16,9,7,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NND_M_R,Wetland,17,0,12,3,4,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NND_M_R,Bareland,3,1,2,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NND_M_R,Built-up,8,0,7,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NND_M_R,Water,26,1,42,22,0,5,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NND_M_R,Forest,31,17,0,1,7,3,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NND_M_R,Cropland,0,0,0,0,2,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NND_M_R,Wetland,0,0,0,0,9,0,7,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NND_M_R,Bareland,0,0,0,0,2,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NND_M_R,Water,0,0,0,0,0,0,29,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NND_M_R,Forest,0,0,0,0,16,0,7,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NND_M_R,Forest,0,0,0,0,5,15,0,6,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NND_M_R,Wetland,0,0,0,0,0,0,0,7,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NND_M_R,Water,0,0,0,0,0,19,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NND_M_R,Grassland,0,0,0,0,0,2,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35NND_M_R,Cropland,1,5,6,1,0,0,0,0,6,0,0
AFRICA_2024_GLC_FCS30D_2022_35NND_M_R,Wetland,0,0,3,0,0,0,0,0,0,2,0
AFRICA_2024_GLC_FCS30D_2022_35NND_M_R,Bareland,0,0,1,0,0,0,0,0,0,2,0
AFRICA_2024_GLC_FCS30D_2022_35NND_M_R,Built-up,3,0,3,2,0,0,0,0,4,5,0
AFRICA_2024_GLC_FCS30D_2022_35NND_M_R,Water,9,16,28,6,0,19,0,0,17,8,1
AFRICA_2024_GLC_FCS30D_2022_35NND_M_R,Forest,5,11,0,8,5,15,0,0,16,17,0
AFRICA_2024_GLC_FCS30D_2022_35NND_M_R,Grassland,0,0,4,0,0,2,0,0,1,1,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NND_M_R,Built-up,0,0,2,1,0,0,0,0,0,1,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NND_M_R,Forest,0,8,0,1,16,3,0,0,0,4,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NND_M_R,Grassland,0,1,3,0,0,0,0,0,0,1,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NND_M_R,Wetland,0,2,9,0,18,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NND_M_R,Bareland,0,0,0,0,2,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NND_M_R,Water,0,0,10,0,0,0,0,0,0,2,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NND_M_R,Cropland,0,1,2,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NND_M_R,Forest,2,0,0,0,9,0,0,0,0,4,0
AFRICA_2024_DynamicWorld_2024_35NND_M_R,Wetland,1,0,4,0,3,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NND_M_R,Water,1,0,10,0,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NND_M_R,Grassland,0,0,1,0,1,0,0,0,0,1,0
AFRICA_2024_DynamicWorld_2024_35NND_M_R,Built-up,0,0,5,0,1,0,0,0,0,4,0
