Dataset,MajorityClass,Grassland,Bareland,Forest,Cropland,Water,Shrubland,Built-up,Lichens_and_Mosses,Wetland,Non_Wetland
AFRICA_2024_WorldCover_2021_36QTD_M_R,Shrubland,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QTD_M_R,Grassland,0,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QTD_M_R,Cropland,2,3,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QTD_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QTD_M_R,Bareland,9,0,0,2,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QTD_M_R,Built-up,2,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QTD_M_R,Wetland,1,3,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QTD_M_R,Water,2,4,0,1,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QTD_M_R,Bareland,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36QTD_M_R,Cropland,1,1,0,0,0,1,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36QTD_M_R,Wetland,1,1,0,0,0,1,1,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36QTD_M_R,Bareland,5,0,0,3,0,4,4,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36QTD_M_R,Built-up,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36QTD_M_R,Water,3,2,0,0,0,2,1,1,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QTD_M_R,Grassland,0,1,0,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QTD_M_R,Bareland,0,0,1,3,0,0,1,0,2,0
AFRICA_2024_GWL_FCS30D_2022_36QTD_M_R,Wetland,0,0,0,0,0,0,0,0,0,4
AFRICA_2024_GWL_FCS30D_2022_36QTD_M_R,Bareland,0,0,0,0,0,0,0,0,0,2
AFRICA_2024_DynamicWorld_2024_36QTD_M_R,Grassland,0,1,0,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36QTD_M_R,Bareland,0,0,0,0,4,0,0,0,0,0
