Dataset,MajorityClass,Grassland,Cropland,Bareland,Wetland,Built-up,Forest,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_37PFR_M_R,Shrubland,1,1,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFR_M_R,Grassland,0,3,1,3,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFR_M_R,Cropland,19,0,20,12,1,14,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFR_M_R,Wetland,2,20,17,0,0,0,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFR_M_R,Lichens_and_Mosses,1,1,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFR_M_R,Bareland,24,20,0,14,4,7,9,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFR_M_R,Built-up,2,1,5,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFR_M_R,Water,3,13,54,34,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFR_M_R,Forest,8,7,9,6,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFR_M_R,Permanent_ice_and_snow,0,0,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PFR_M_R,Grassland,0,0,0,0,0,0,0,4,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PFR_M_R,Cropland,0,0,0,1,0,0,0,17,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PFR_M_R,Bareland,0,0,0,17,0,0,7,27,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PFR_M_R,Wetland,0,0,0,0,0,0,1,70,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PFR_M_R,Water,0,0,0,21,0,0,0,39,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PFR_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PFR_M_R,Forest,0,0,0,1,0,0,0,6,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PFR_M_R,Bareland,0,0,0,0,0,0,30,0,9,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PFR_M_R,Wetland,0,0,0,0,0,0,10,0,3,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PFR_M_R,Water,0,0,0,0,0,0,0,0,4,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PFR_M_R,Cropland,25,0,11,1,8,2,0,0,0,19,2,0
AFRICA_2024_GLC_FCS30D_2022_37PFR_M_R,Wetland,22,10,23,0,8,0,1,0,0,7,0,0
AFRICA_2024_GLC_FCS30D_2022_37PFR_M_R,Bareland,30,18,0,17,23,0,7,0,0,26,9,0
AFRICA_2024_GLC_FCS30D_2022_37PFR_M_R,Built-up,3,4,3,0,0,0,0,0,0,3,0,0
AFRICA_2024_GLC_FCS30D_2022_37PFR_M_R,Water,30,13,40,21,21,0,0,0,0,15,0,0
AFRICA_2024_GLC_FCS30D_2022_37PFR_M_R,Forest,17,15,8,1,4,0,0,0,0,11,1,0
AFRICA_2024_GLC_FCS30D_2022_37PFR_M_R,Grassland,0,3,2,0,1,0,0,0,0,1,0,0
AFRICA_2024_GLC_FCS30D_2022_37PFR_M_R,Permanent_ice_and_snow,0,0,1,0,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PFR_M_R,Grassland,0,2,0,0,2,2,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PFR_M_R,Wetland,0,14,5,0,0,11,17,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PFR_M_R,Bareland,0,18,0,5,19,9,18,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PFR_M_R,Cropland,0,0,7,1,10,15,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PFR_M_R,Water,0,6,33,22,0,6,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PFR_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PFR_M_R,Forest,0,7,0,0,1,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PFR_M_R,Cropland,3,0,7,4,0,5,2,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PFR_M_R,Wetland,1,5,9,0,0,5,27,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PFR_M_R,Grassland,0,2,4,1,0,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PFR_M_R,Bareland,0,9,0,9,0,1,18,0,0,0,0,7
AFRICA_2024_DynamicWorld_2024_37PFR_M_R,Built-up,0,1,4,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PFR_M_R,Forest,0,2,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PFR_M_R,Water,0,0,10,7,0,0,0,0,0,0,0,1
