Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Non_Water,Shrubland,Wetland,Lichens_and_Mosses,Non_Wetland
AFRICA_2024_WorldCover_2021_38QLD_M_R,Shrubland,3,2,3,1,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38QLD_M_R,Grassland,0,2,3,1,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38QLD_M_R,Cropland,11,0,16,6,2,11,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38QLD_M_R,Wetland,4,4,7,0,4,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38QLD_M_R,Lichens_and_Mosses,1,1,1,1,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38QLD_M_R,Bareland,13,19,0,7,4,5,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38QLD_M_R,Built-up,9,11,9,0,1,8,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38QLD_M_R,Water,6,17,19,1,0,7,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38QLD_M_R,Forest,8,6,3,1,1,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38QLD_M_R,Shrubland,0,0,0,0,2,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38QLD_M_R,Grassland,0,0,0,0,2,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38QLD_M_R,Cropland,0,0,0,0,5,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38QLD_M_R,Wetland,0,0,0,0,5,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38QLD_M_R,Bareland,0,0,0,0,10,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38QLD_M_R,Built-up,0,0,0,0,4,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38QLD_M_R,Water,0,0,0,0,0,0,5,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38QLD_M_R,Forest,0,0,0,0,2,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_38QLD_M_R,Water,7,27,19,5,0,2,0,6,4,4,0
AFRICA_2024_GLC_FCS30D_2022_38QLD_M_R,Cropland,8,0,10,5,0,4,0,6,0,6,0
AFRICA_2024_GLC_FCS30D_2022_38QLD_M_R,Wetland,3,3,3,1,0,0,0,2,0,0,0
AFRICA_2024_GLC_FCS30D_2022_38QLD_M_R,Bareland,7,21,0,10,0,1,0,10,0,5,0
AFRICA_2024_GLC_FCS30D_2022_38QLD_M_R,Built-up,5,7,8,0,0,4,0,6,0,6,0
AFRICA_2024_GLC_FCS30D_2022_38QLD_M_R,Forest,4,14,5,1,1,0,0,4,0,2,0
AFRICA_2024_ESRI_Annual_LULC_2024_38QLD_M_R,Grassland,0,1,1,1,1,0,0,0,1,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38QLD_M_R,Bareland,0,6,0,6,1,5,0,0,1,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38QLD_M_R,Built-up,0,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38QLD_M_R,Forest,0,3,1,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38QLD_M_R,Cropland,0,0,2,2,1,4,0,0,1,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38QLD_M_R,Water,0,0,3,0,0,3,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38QLD_M_R,Wetland,0,0,1,0,1,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38QLD_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,12
AFRICA_2024_GWL_FCS30D_2022_38QLD_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,1
AFRICA_2024_GWL_FCS30D_2022_38QLD_M_R,Cropland,0,0,0,0,0,0,0,0,0,0,1
AFRICA_2024_GWL_FCS30D_2022_38QLD_M_R,Bareland,0,0,0,0,0,0,0,0,0,0,1
AFRICA_2024_GWL_FCS30D_2022_38QLD_M_R,Water,0,0,0,0,0,0,0,0,4,0,0
AFRICA_2024_GWL_FCS30D_2022_38QLD_M_R,Forest,0,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38QLD_M_R,Bareland,0,1,0,0,9,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38QLD_M_R,Grassland,0,0,1,0,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38QLD_M_R,Cropland,0,0,5,0,8,3,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38QLD_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38QLD_M_R,Forest,0,0,1,0,3,0,0,0,0,0,0
