Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Non_Wetland,Water,Non_Water,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_36NXL_M_R,Shrubland,3,1,3,1,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NXL_M_R,Grassland,0,5,34,3,1,7,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NXL_M_R,Cropland,50,0,24,14,8,26,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NXL_M_R,Wetland,45,0,0,0,0,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NXL_M_R,Lichens_and_Mosses,1,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NXL_M_R,Bareland,30,1,13,0,4,5,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NXL_M_R,Built-up,10,1,3,2,0,7,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NXL_M_R,Water,30,0,15,1,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NXL_M_R,Forest,73,10,42,10,7,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXL_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXL_M_R,Grassland,0,0,1,0,0,0,63,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXL_M_R,Cropland,0,0,0,0,0,0,24,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXL_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXL_M_R,Bareland,0,0,0,0,0,0,14,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXL_M_R,Built-up,0,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXL_M_R,Forest,0,0,7,0,0,0,50,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXL_M_R,Wetland,0,0,0,0,0,0,100,6,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXL_M_R,Water,0,0,0,0,0,0,21,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NXL_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NXL_M_R,Grassland,0,0,0,0,0,0,0,35,3,0,0
AFRICA_2024_GSW_Yearly_2021_36NXL_M_R,Cropland,0,0,0,0,0,0,0,9,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NXL_M_R,Bareland,0,0,0,0,0,0,0,6,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NXL_M_R,Built-up,0,0,0,0,0,0,0,2,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NXL_M_R,Water,0,0,0,0,0,0,0,0,17,0,0
AFRICA_2024_GSW_Yearly_2021_36NXL_M_R,Wetland,0,0,0,0,0,0,0,30,6,0,0
AFRICA_2024_GSW_Yearly_2021_36NXL_M_R,Forest,0,0,0,0,0,0,0,23,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R,Cropland,27,0,0,23,17,14,0,0,0,36,8
AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R,Wetland,17,7,0,25,14,3,0,6,0,27,0
AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R,Bareland,18,6,0,0,9,5,0,0,0,22,3
AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R,Built-up,6,4,0,3,0,2,0,0,0,4,0
AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R,Water,11,1,0,14,2,1,0,0,0,11,0
AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R,Forest,37,23,7,37,27,0,0,3,0,52,11
AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R,Grassland,0,15,1,22,11,13,0,3,0,27,1
AFRICA_2024_ESRI_Annual_LULC_2024_36NXL_M_R,Grassland,0,15,25,4,4,40,0,5,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NXL_M_R,Bareland,0,18,0,0,0,11,0,6,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NXL_M_R,Built-up,0,2,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NXL_M_R,Forest,0,28,7,2,14,0,0,3,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NXL_M_R,Wetland,0,1,0,0,0,16,0,5,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NXL_M_R,Water,0,0,15,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NXL_M_R,Cropland,0,0,0,4,6,28,0,2,0,0,0
AFRICA_2024_DynamicWorld_2024_36NXL_M_R,Water,4,0,3,0,0,5,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NXL_M_R,Forest,9,14,1,4,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NXL_M_R,Wetland,5,1,0,0,0,9,0,4,0,0,0
AFRICA_2024_DynamicWorld_2024_36NXL_M_R,Grassland,0,9,6,7,0,9,0,5,0,0,0
AFRICA_2024_DynamicWorld_2024_36NXL_M_R,Bareland,0,4,1,0,0,0,0,1,0,0,0
AFRICA_2024_DynamicWorld_2024_36NXL_M_R,Built-up,0,3,0,1,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NXL_M_R,Cropland,0,0,0,1,0,3,0,0,0,0,0
