Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Shrubland,Lichens_and_Mosses,Wetland,Non_Wetland
AFRICA_2024_WorldCover_2021_35PMS_M_R,Shrubland,2,2,2,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMS_M_R,Grassland,0,3,3,1,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMS_M_R,Cropland,14,0,15,2,4,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMS_M_R,Lichens_and_Mosses,1,0,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMS_M_R,Bareland,23,15,0,4,12,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMS_M_R,Built-up,7,1,8,0,7,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMS_M_R,Water,4,0,4,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMS_M_R,Forest,5,1,2,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMS_M_R,Wetland,0,1,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PMS_M_R,Grassland,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PMS_M_R,Cropland,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PMS_M_R,Bareland,0,0,0,0,0,4,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PMS_M_R,Water,1,2,4,0,1,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PMS_M_R,Cropland,9,0,5,6,5,0,10,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PMS_M_R,Wetland,0,0,1,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PMS_M_R,Bareland,18,5,0,13,6,1,18,4,0,0
AFRICA_2024_GLC_FCS30D_2022_35PMS_M_R,Built-up,4,2,3,0,2,0,4,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PMS_M_R,Forest,5,1,0,3,0,0,2,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMS_M_R,Grassland,0,1,2,1,2,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMS_M_R,Bareland,0,3,0,6,0,3,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMS_M_R,Water,0,0,0,0,0,0,0,0,3,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMS_M_R,Cropland,0,0,5,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMS_M_R,Forest,0,0,1,1,0,1,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PMS_M_R,Wetland,0,0,0,0,0,0,0,0,0,3
AFRICA_2024_GWL_FCS30D_2022_35PMS_M_R,Water,0,0,0,0,0,0,0,0,0,1
AFRICA_2024_GWL_FCS30D_2022_35PMS_M_R,Bareland,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PMS_M_R,Grassland,0,2,2,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PMS_M_R,Bareland,0,6,0,0,0,0,0,0,0,0
