Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Shrubland,Lichens_and_Mosses,Wetland
AFRICA_2024_WorldCover_2021_35PMP_M_R,Shrubland,1,1,1,1,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMP_M_R,Grassland,0,1,3,1,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMP_M_R,Cropland,20,0,6,0,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMP_M_R,Wetland,0,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMP_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMP_M_R,Bareland,11,4,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMP_M_R,Built-up,6,5,5,0,4,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMP_M_R,Forest,13,3,3,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMP_M_R,Water,0,0,3,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PMP_M_R,Grassland,0,0,0,0,0,2,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PMP_M_R,Wetland,0,0,0,0,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PMP_M_R,Bareland,0,0,0,0,0,2,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PMP_M_R,Cropland,13,0,3,2,2,0,12,3,0
AFRICA_2024_GLC_FCS30D_2022_35PMP_M_R,Bareland,6,0,0,1,1,0,7,1,1
AFRICA_2024_GLC_FCS30D_2022_35PMP_M_R,Built-up,6,1,0,0,0,0,5,0,0
AFRICA_2024_GLC_FCS30D_2022_35PMP_M_R,Water,2,0,0,0,0,0,0,0,1
AFRICA_2024_GLC_FCS30D_2022_35PMP_M_R,Forest,10,2,0,3,0,0,7,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMP_M_R,Grassland,0,3,0,3,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMP_M_R,Cropland,0,0,0,2,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMP_M_R,Bareland,0,4,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMP_M_R,Forest,0,3,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PMP_M_R,Bareland,0,0,0,0,0,0,0,0,1
AFRICA_2024_GWL_FCS30D_2022_35PMP_M_R,Water,0,0,0,0,0,0,0,0,1
AFRICA_2024_DynamicWorld_2024_35PMP_M_R,Grassland,0,3,3,0,2,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PMP_M_R,Built-up,0,2,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PMP_M_R,Cropland,0,0,3,0,0,0,0,0,0
