Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Water,Non_Water,Shrubland,Lichens_and_Mosses,Built-up,Wetland,Non_Wetland
AFRICA_2024_WorldCover_2021_35PQT_M_R,Shrubland,2,1,2,2,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQT_M_R,Grassland,0,1,2,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQT_M_R,Cropland,28,0,18,15,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQT_M_R,Bareland,24,6,0,8,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQT_M_R,Built-up,2,0,2,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQT_M_R,Forest,26,1,6,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQT_M_R,Wetland,34,2,3,23,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PQT_M_R,Water,10,2,4,1,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQT_M_R,Grassland,0,0,0,0,3,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQT_M_R,Cropland,0,0,0,0,5,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQT_M_R,Forest,0,0,0,0,8,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQT_M_R,Wetland,0,0,0,0,16,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQT_M_R,Water,0,0,0,0,0,16,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PQT_M_R,Bareland,0,0,0,0,1,1,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PQT_M_R,Cropland,11,0,7,8,0,0,15,2,10,0,0
AFRICA_2024_GLC_FCS30D_2022_35PQT_M_R,Wetland,6,24,0,14,0,0,6,0,14,0,0
AFRICA_2024_GLC_FCS30D_2022_35PQT_M_R,Bareland,14,2,0,8,0,0,15,5,10,0,0
AFRICA_2024_GLC_FCS30D_2022_35PQT_M_R,Forest,8,19,0,0,0,0,12,0,11,0,0
AFRICA_2024_GLC_FCS30D_2022_35PQT_M_R,Water,2,1,1,5,0,0,4,0,2,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQT_M_R,Grassland,0,3,2,3,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQT_M_R,Forest,0,1,0,0,0,0,0,0,0,1,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQT_M_R,Cropland,0,0,2,3,0,0,0,0,0,1,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQT_M_R,Wetland,0,0,0,15,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PQT_M_R,Bareland,0,12,0,3,0,0,0,0,0,5,0
AFRICA_2024_GWL_FCS30D_2022_35PQT_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,91
AFRICA_2024_GWL_FCS30D_2022_35PQT_M_R,Forest,0,0,0,0,0,0,0,0,0,0,18
AFRICA_2024_GWL_FCS30D_2022_35PQT_M_R,Cropland,0,0,0,0,0,0,0,0,0,0,1
AFRICA_2024_GWL_FCS30D_2022_35PQT_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,4
AFRICA_2024_GWL_FCS30D_2022_35PQT_M_R,Bareland,0,0,0,0,0,0,0,0,0,0,5
AFRICA_2024_DynamicWorld_2024_35PQT_M_R,Grassland,0,3,4,3,2,0,0,0,0,4,0
AFRICA_2024_DynamicWorld_2024_35PQT_M_R,Bareland,0,7,0,0,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PQT_M_R,Forest,0,6,1,0,0,0,0,0,0,17,0
AFRICA_2024_DynamicWorld_2024_35PQT_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0
