Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Wetland,Water,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_35PNR_M_R,Shrubland,3,2,1,2,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNR_M_R,Grassland,0,2,3,3,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNR_M_R,Cropland,51,0,36,30,0,16,14,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNR_M_R,Wetland,40,1,6,30,0,0,5,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNR_M_R,Bareland,48,7,0,19,3,14,6,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNR_M_R,Built-up,6,0,5,4,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNR_M_R,Water,21,3,32,21,0,15,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNR_M_R,Forest,34,5,9,0,1,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PNR_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PNR_M_R,Grassland,0,0,0,0,0,0,11,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PNR_M_R,Cropland,0,0,0,0,0,0,55,2,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PNR_M_R,Wetland,0,0,0,0,0,0,30,3,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PNR_M_R,Bareland,0,0,0,0,0,0,61,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PNR_M_R,Built-up,0,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PNR_M_R,Forest,0,0,0,0,0,0,26,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PNR_M_R,Water,0,0,0,0,0,0,0,11,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PNR_M_R,Grassland,0,0,0,0,0,0,0,0,9,0,0
AFRICA_2024_GWL_FCS30D_2022_35PNR_M_R,Bareland,0,0,0,0,0,10,1,0,16,0,0
AFRICA_2024_GWL_FCS30D_2022_35PNR_M_R,Wetland,0,0,0,0,0,0,0,0,59,0,0
AFRICA_2024_GWL_FCS30D_2022_35PNR_M_R,Forest,0,0,0,0,0,15,0,0,13,0,0
AFRICA_2024_GWL_FCS30D_2022_35PNR_M_R,Cropland,0,0,0,0,0,10,0,0,17,0,0
AFRICA_2024_GWL_FCS30D_2022_35PNR_M_R,Water,0,0,0,0,0,26,0,0,14,0,0
AFRICA_2024_GLC_FCS30D_2022_35PNR_M_R,Water,42,1,16,12,5,26,0,0,0,3,0
AFRICA_2024_GLC_FCS30D_2022_35PNR_M_R,Cropland,45,0,17,24,17,10,0,0,0,23,2
AFRICA_2024_GLC_FCS30D_2022_35PNR_M_R,Wetland,14,6,1,10,1,0,0,0,0,18,0
AFRICA_2024_GLC_FCS30D_2022_35PNR_M_R,Bareland,43,6,0,15,22,10,1,0,0,22,6
AFRICA_2024_GLC_FCS30D_2022_35PNR_M_R,Built-up,5,0,2,1,0,0,0,0,0,2,0
AFRICA_2024_GLC_FCS30D_2022_35PNR_M_R,Forest,37,11,5,0,11,15,0,0,0,18,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNR_M_R,Grassland,0,5,3,10,3,3,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNR_M_R,Bareland,0,19,0,7,14,3,18,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNR_M_R,Forest,0,8,1,0,0,2,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNR_M_R,Wetland,0,0,5,13,0,0,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNR_M_R,Cropland,0,0,6,11,2,1,13,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNR_M_R,Water,0,3,16,3,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNR_M_R,Wetland,1,18,9,3,0,0,8,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNR_M_R,Forest,1,13,10,0,0,11,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNR_M_R,Water,0,21,14,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNR_M_R,Grassland,0,11,9,4,0,5,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNR_M_R,Bareland,0,14,0,1,0,0,4,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNR_M_R,Built-up,0,0,4,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNR_M_R,Cropland,0,0,3,0,0,0,0,0,0,0,0
