Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Forest,Built-up,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_37PGP_M_R,Shrubland,2,3,3,3,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGP_M_R,Grassland,0,13,21,11,3,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGP_M_R,Cropland,56,0,91,70,24,12,10,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGP_M_R,Wetland,22,61,0,51,12,5,11,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGP_M_R,Lichens_and_Mosses,1,2,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGP_M_R,Bareland,43,60,51,0,8,18,27,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGP_M_R,Built-up,7,8,10,11,4,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGP_M_R,Water,12,70,105,80,20,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGP_M_R,Forest,28,45,83,29,0,2,6,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGP_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGP_M_R,Grassland,0,0,0,0,0,0,0,39,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGP_M_R,Cropland,0,0,19,0,0,0,0,171,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGP_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGP_M_R,Bareland,0,0,18,0,0,0,4,95,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGP_M_R,Built-up,0,0,0,0,0,0,0,10,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGP_M_R,Forest,0,0,14,0,0,0,0,122,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGP_M_R,Wetland,0,0,0,0,0,0,1,342,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGP_M_R,Water,0,0,32,0,0,0,0,146,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PGP_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PGP_M_R,Grassland,0,0,0,0,0,0,8,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PGP_M_R,Cropland,0,0,0,0,0,0,105,0,12,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PGP_M_R,Wetland,0,0,0,0,0,0,115,0,9,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PGP_M_R,Bareland,0,0,0,0,0,0,104,0,18,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PGP_M_R,Built-up,0,0,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PGP_M_R,Water,0,0,0,0,0,0,0,0,64,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PGP_M_R,Forest,0,0,0,0,0,0,42,0,3,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PGP_M_R,Water,83,58,32,82,2,60,0,0,0,67,22,0
AFRICA_2024_GLC_FCS30D_2022_37PGP_M_R,Cropland,91,0,19,67,11,57,0,0,0,75,43,0
AFRICA_2024_GLC_FCS30D_2022_37PGP_M_R,Wetland,72,49,0,62,10,44,1,0,0,58,23,0
AFRICA_2024_GLC_FCS30D_2022_37PGP_M_R,Bareland,66,48,18,0,1,50,4,0,0,58,21,0
AFRICA_2024_GLC_FCS30D_2022_37PGP_M_R,Built-up,10,7,0,8,1,0,0,0,0,10,2,0
AFRICA_2024_GLC_FCS30D_2022_37PGP_M_R,Forest,65,47,14,48,0,25,0,0,0,42,17,0
AFRICA_2024_GLC_FCS30D_2022_37PGP_M_R,Grassland,0,16,0,3,2,3,0,0,0,8,6,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGP_M_R,Grassland,0,30,15,3,17,4,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGP_M_R,Wetland,0,84,0,11,45,2,35,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGP_M_R,Bareland,0,71,29,0,7,26,35,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGP_M_R,Built-up,0,2,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGP_M_R,Forest,0,71,36,4,0,7,14,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGP_M_R,Cropland,0,0,50,23,36,14,15,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGP_M_R,Water,0,78,65,51,14,5,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGP_M_R,Cropland,20,0,33,32,35,0,29,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGP_M_R,Wetland,13,32,0,15,48,0,40,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGP_M_R,Bareland,2,18,15,0,8,0,31,0,0,0,0,1
AFRICA_2024_DynamicWorld_2024_37PGP_M_R,Forest,1,7,5,0,0,0,3,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGP_M_R,Water,0,17,22,19,7,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGP_M_R,Grassland,0,8,4,7,6,0,6,0,0,0,0,0
