Dataset,MajorityClass,Forest,Grassland,Water,Bareland,Wetland,Cropland,Built-up,Shrubland
AFRICA_2024_WorldCover_2021_37PGT_M_R,Wetland,2,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGT_M_R,Bareland,1,4,5,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGT_M_R,Water,0,1,0,16,1,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PGT_M_R,Bareland,0,1,0,0,11,10,2,1
AFRICA_2024_GLC_FCS30D_2022_37PGT_M_R,Water,0,0,0,9,15,1,4,0
AFRICA_2024_GLC_FCS30D_2022_37PGT_M_R,Forest,0,0,0,0,1,2,0,0
AFRICA_2024_GSW_Yearly_2021_37PGT_M_R,Bareland,0,0,14,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGT_M_R,Bareland,0,0,0,0,6,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGT_M_R,Water,0,0,0,0,7,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGT_M_R,Forest,0,0,0,0,1,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGT_M_R,Wetland,0,0,0,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGT_M_R,Water,0,0,0,2,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGT_M_R,Bareland,0,0,5,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGT_M_R,Bareland,0,0,6,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGT_M_R,Water,0,0,0,10,0,0,0,0
