Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Non_Water,Wetland,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_38NLP_M_R,Shrubland,3,1,3,1,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38NLP_M_R,Grassland,0,7,3,1,1,1,0,0,0,0
AFRICA_2024_WorldCover_2021_38NLP_M_R,Cropland,23,0,11,1,9,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38NLP_M_R,Wetland,4,1,1,0,1,1,0,0,0,0
AFRICA_2024_WorldCover_2021_38NLP_M_R,Lichens_and_Mosses,1,1,1,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38NLP_M_R,Bareland,12,2,0,5,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38NLP_M_R,Built-up,7,1,7,0,4,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38NLP_M_R,Water,6,3,7,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38NLP_M_R,Forest,18,11,5,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38NLP_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38NLP_M_R,Grassland,0,0,0,0,0,4,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38NLP_M_R,Cropland,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38NLP_M_R,Wetland,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38NLP_M_R,Bareland,0,0,0,0,0,5,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38NLP_M_R,Built-up,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38NLP_M_R,Water,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GLC_FCS30D_2022_38NLP_M_R,Water,8,0,1,1,0,0,0,2,0,0
AFRICA_2024_GLC_FCS30D_2022_38NLP_M_R,Cropland,16,0,6,5,5,0,0,0,16,0
AFRICA_2024_GLC_FCS30D_2022_38NLP_M_R,Bareland,8,2,0,5,0,0,0,0,8,0
AFRICA_2024_GLC_FCS30D_2022_38NLP_M_R,Built-up,4,4,3,0,0,0,0,0,5,0
AFRICA_2024_GLC_FCS30D_2022_38NLP_M_R,Forest,13,11,9,4,0,0,0,1,18,1
AFRICA_2024_GLC_FCS30D_2022_38NLP_M_R,Grassland,0,4,0,0,0,0,0,0,6,0
AFRICA_2024_ESRI_Annual_LULC_2024_38NLP_M_R,Grassland,0,5,1,2,10,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38NLP_M_R,Wetland,0,1,0,0,3,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38NLP_M_R,Bareland,0,1,0,1,3,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38NLP_M_R,Forest,0,5,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38NLP_M_R,Water,0,0,2,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38NLP_M_R,Cropland,0,0,0,1,14,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38NLP_M_R,Water,0,0,0,0,0,0,0,2,0,0
AFRICA_2024_GWL_FCS30D_2022_38NLP_M_R,Forest,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_DynamicWorld_2024_38NLP_M_R,Cropland,2,0,0,0,3,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38NLP_M_R,Grassland,0,3,3,0,2,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38NLP_M_R,Bareland,0,1,0,0,0,0,0,0,0,0
