Value,AFRICA_2024_DynamicWorld_2024_35NMH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NMH_M_R,AFRICA_2024_GLC_FCS30D_2022_35NMH_M_R,AFRICA_2024_GSW_Yearly_2021_35NMH_M_R,AFRICA_2024_GWL_FCS30D_2022_35NMH_M_R,AFRICA_2024_WorldCover_2021_35NMH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
23,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
25,NULL,NULL,Wetland,NULL,Wetland,NULL
26,NULL,NULL,Wetland,NULL,Wetland,Grassland
27,NULL,NULL,Wetland,NULL,Wetland,Wetland
28,NULL,NULL,Wetland,NULL,Wetland,Forest
29,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
30,NULL,NULL,Wetland,Water,Wetland,Wetland
31,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
32,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
33,NULL,NULL,Forest,NULL,Non_Wetland,NULL
34,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
35,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
36,NULL,NULL,Forest,NULL,Non_Wetland,Forest
37,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
38,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
39,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
40,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
41,NULL,NULL,Forest,Water,Non_Wetland,NULL
42,NULL,NULL,Forest,Water,Non_Wetland,Grassland
43,NULL,NULL,Forest,Water,Non_Wetland,Wetland
44,NULL,NULL,Forest,Water,Non_Wetland,Forest
45,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
46,NULL,Water,Forest,NULL,Non_Wetland,Forest
47,NULL,Forest,NULL,NULL,Non_Wetland,NULL
48,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
49,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
50,NULL,Forest,NULL,NULL,Non_Wetland,Forest
51,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
52,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
53,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
54,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
55,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
56,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
57,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
58,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
59,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
60,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
61,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
62,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
63,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
64,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
65,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
66,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
67,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
68,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
69,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
70,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
71,NULL,Forest,Wetland,NULL,Wetland,NULL
72,NULL,Forest,Wetland,NULL,Wetland,Grassland
73,NULL,Forest,Wetland,NULL,Wetland,Wetland
74,NULL,Forest,Wetland,NULL,Wetland,Forest
75,NULL,Forest,Wetland,Water,Wetland,Forest
76,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
77,NULL,Forest,Bareland,Non_Water,Non_Wetland,Forest
78,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
79,NULL,Forest,Water,NULL,Water,Forest
80,NULL,Forest,Forest,NULL,Non_Wetland,NULL
81,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
82,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
83,NULL,Forest,Forest,NULL,Non_Wetland,Forest
84,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
85,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
86,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
87,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
88,NULL,Forest,Forest,Water,Non_Wetland,NULL
89,NULL,Forest,Forest,Water,Non_Wetland,Grassland
90,NULL,Forest,Forest,Water,Non_Wetland,Wetland
91,NULL,Forest,Forest,Water,Non_Wetland,Forest
92,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
93,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
94,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
95,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
96,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
97,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
98,Water,Water,Shrubland,NULL,Non_Wetland,Forest
99,Water,Water,Wetland,NULL,Wetland,Grassland
100,Water,Water,Forest,NULL,Non_Wetland,Grassland
101,Water,Water,Forest,NULL,Non_Wetland,Forest
102,Water,Forest,Wetland,NULL,Wetland,Forest
103,Water,Forest,Forest,NULL,Non_Wetland,Forest
104,Forest,NULL,NULL,NULL,Non_Wetland,NULL
105,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
106,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
107,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
108,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
109,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
110,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Forest
111,Forest,NULL,Shrubland,Water,Non_Wetland,Grassland
112,Forest,NULL,Forest,NULL,Non_Wetland,NULL
113,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
114,Forest,NULL,Forest,NULL,Non_Wetland,Forest
115,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
116,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
117,Forest,NULL,Forest,Water,Non_Wetland,Forest
118,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
119,Forest,Water,Shrubland,Non_Water,Non_Wetland,Forest
120,Forest,Water,Forest,NULL,Non_Wetland,Grassland
121,Forest,Water,Forest,NULL,Non_Wetland,Forest
122,Forest,Forest,NULL,NULL,Non_Wetland,NULL
