Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Wetland,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_36PZS_M_R,Shrubland,3,3,1,1,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PZS_M_R,Grassland,0,23,5,1,13,1,4,0,0,0,0
AFRICA_2024_WorldCover_2021_36PZS_M_R,Cropland,42,0,34,22,30,7,13,0,0,0,0
AFRICA_2024_WorldCover_2021_36PZS_M_R,Wetland,8,17,1,0,19,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PZS_M_R,Lichens_and_Mosses,1,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PZS_M_R,Bareland,27,40,0,0,3,22,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PZS_M_R,Built-up,8,9,7,0,7,0,2,0,0,0,0
AFRICA_2024_WorldCover_2021_36PZS_M_R,Forest,62,62,28,21,0,15,9,0,0,0,0
AFRICA_2024_WorldCover_2021_36PZS_M_R,Water,59,97,48,0,60,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PZS_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PZS_M_R,Grassland,0,0,0,0,0,3,0,2,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PZS_M_R,Cropland,0,0,0,0,0,31,0,8,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PZS_M_R,Wetland,0,0,0,0,0,6,0,2,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PZS_M_R,Bareland,0,0,0,0,0,40,0,17,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PZS_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PZS_M_R,Forest,0,0,0,0,0,70,0,24,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PZS_M_R,Water,0,0,0,0,0,0,0,60,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PZS_M_R,Forest,0,0,0,0,0,5,13,0,16,0,0
AFRICA_2024_GWL_FCS30D_2022_36PZS_M_R,Cropland,0,0,0,0,0,1,2,0,22,0,0
AFRICA_2024_GWL_FCS30D_2022_36PZS_M_R,Built-up,0,0,0,0,0,0,0,0,2,0,0
AFRICA_2024_GWL_FCS30D_2022_36PZS_M_R,Water,0,0,0,0,0,0,37,0,3,0,0
AFRICA_2024_GWL_FCS30D_2022_36PZS_M_R,Grassland,0,0,0,0,0,0,0,0,4,0,0
AFRICA_2024_GWL_FCS30D_2022_36PZS_M_R,Wetland,0,0,0,0,0,0,0,0,26,0,0
AFRICA_2024_GWL_FCS30D_2022_36PZS_M_R,Bareland,0,0,0,0,0,1,4,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PZS_M_R,Cropland,32,0,23,19,33,1,2,0,0,42,6
AFRICA_2024_GLC_FCS30D_2022_36PZS_M_R,Bareland,19,27,0,14,12,1,4,0,0,17,1
AFRICA_2024_GLC_FCS30D_2022_36PZS_M_R,Built-up,5,6,3,0,7,0,0,0,0,8,1
AFRICA_2024_GLC_FCS30D_2022_36PZS_M_R,Water,40,55,62,31,42,0,37,0,0,55,7
AFRICA_2024_GLC_FCS30D_2022_36PZS_M_R,Forest,43,40,43,27,0,5,13,0,0,55,8
AFRICA_2024_GLC_FCS30D_2022_36PZS_M_R,Grassland,0,8,0,2,14,0,0,0,0,16,0
AFRICA_2024_GLC_FCS30D_2022_36PZS_M_R,Wetland,2,1,3,2,7,0,0,0,0,6,1
AFRICA_2024_ESRI_Annual_LULC_2024_36PZS_M_R,Grassland,0,21,1,7,15,13,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PZS_M_R,Built-up,0,2,0,0,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PZS_M_R,Forest,0,34,1,22,0,66,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PZS_M_R,Cropland,0,0,11,25,22,32,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PZS_M_R,Bareland,0,8,0,1,3,36,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PZS_M_R,Wetland,0,6,0,0,1,14,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PZS_M_R,Water,0,24,22,0,12,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PZS_M_R,Cropland,13,0,11,0,17,15,9,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PZS_M_R,Wetland,2,0,0,0,10,2,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PZS_M_R,Forest,9,11,1,0,0,14,7,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PZS_M_R,Water,1,8,27,0,46,0,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PZS_M_R,Grassland,0,4,3,0,5,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PZS_M_R,Bareland,0,10,0,0,5,8,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PZS_M_R,Built-up,0,4,0,0,5,0,0,0,0,0,0
