Dataset,MajorityClass,Grassland,Bareland,Forest,Cropland,Built-up,Water,Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AFRICA_2024_WorldCover_2021_37PGS_M_R,Shrubland,1,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGS_M_R,Grassland,0,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGS_M_R,Cropland,2,11,3,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGS_M_R,Bareland,14,0,4,9,6,10,1,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGS_M_R,Built-up,1,2,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGS_M_R,Wetland,0,3,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGS_M_R,Forest,4,13,0,2,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGS_M_R,Water,0,29,0,1,0,0,10,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGS_M_R,Wetland,0,2,0,0,3,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGS_M_R,Bareland,0,0,14,2,18,10,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGS_M_R,Cropland,0,0,13,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGS_M_R,Water,0,20,0,0,4,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGS_M_R,Forest,0,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PGS_M_R,Wetland,0,0,0,0,0,2,0,2,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PGS_M_R,Bareland,0,0,0,0,0,30,0,12,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PGS_M_R,Water,0,0,0,0,0,0,0,15,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PGS_M_R,Built-up,0,1,0,0,0,1,0,0,1,0,0
AFRICA_2024_GLC_FCS30D_2022_37PGS_M_R,Forest,5,6,0,14,3,0,0,0,9,0,0
AFRICA_2024_GLC_FCS30D_2022_37PGS_M_R,Cropland,4,4,0,0,3,0,0,0,4,0,0
AFRICA_2024_GLC_FCS30D_2022_37PGS_M_R,Bareland,11,0,0,18,16,6,18,0,17,3,0
AFRICA_2024_GLC_FCS30D_2022_37PGS_M_R,Water,5,14,0,1,8,0,27,0,1,0,0
AFRICA_2024_DynamicWorld_2024_37PGS_M_R,Grassland,0,1,0,1,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGS_M_R,Bareland,0,0,1,2,0,17,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGS_M_R,Cropland,0,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGS_M_R,Water,0,12,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGS_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGS_M_R,Forest,0,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGS_M_R,Wetland,0,0,0,0,0,4,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGS_M_R,Bareland,0,0,0,0,0,3,12,0,0,0,1
AFRICA_2024_GWL_FCS30D_2022_37PGS_M_R,Water,0,0,0,0,0,0,18,0,0,0,7
