Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_37PEN_M_R,Shrubland,2,3,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PEN_M_R,Grassland,0,31,14,8,15,36,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PEN_M_R,Cropland,62,0,42,27,38,37,16,0,0,0,0
AFRICA_2024_WorldCover_2021_37PEN_M_R,Wetland,15,31,5,0,6,0,5,0,0,0,0
AFRICA_2024_WorldCover_2021_37PEN_M_R,Lichens_and_Mosses,1,1,1,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PEN_M_R,Bareland,56,33,0,14,21,8,10,0,0,0,0
AFRICA_2024_WorldCover_2021_37PEN_M_R,Built-up,12,14,13,0,9,8,2,0,0,0,0
AFRICA_2024_WorldCover_2021_37PEN_M_R,Water,89,60,53,1,52,46,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PEN_M_R,Forest,65,44,37,25,0,39,6,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PEN_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PEN_M_R,Grassland,0,0,0,0,0,0,16,3,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PEN_M_R,Cropland,0,0,0,0,0,0,44,9,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PEN_M_R,Bareland,0,0,0,0,0,0,48,10,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PEN_M_R,Forest,0,0,0,0,0,0,52,3,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PEN_M_R,Built-up,0,0,0,0,0,0,3,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PEN_M_R,Water,0,0,0,0,0,0,0,40,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PEN_M_R,Wetland,0,0,0,0,0,0,28,12,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PEN_M_R,Grassland,0,0,0,0,0,7,1,0,46,0,0
AFRICA_2024_GWL_FCS30D_2022_37PEN_M_R,Cropland,0,0,0,0,0,21,5,0,51,0,0
AFRICA_2024_GWL_FCS30D_2022_37PEN_M_R,Forest,0,0,0,0,0,9,8,0,45,0,0
AFRICA_2024_GWL_FCS30D_2022_37PEN_M_R,Wetland,0,0,0,0,0,0,2,0,64,0,0
AFRICA_2024_GWL_FCS30D_2022_37PEN_M_R,Bareland,0,0,0,0,0,6,4,0,10,0,0
AFRICA_2024_GWL_FCS30D_2022_37PEN_M_R,Built-up,0,0,0,0,0,1,0,0,8,0,0
AFRICA_2024_GWL_FCS30D_2022_37PEN_M_R,Water,0,0,0,0,0,32,0,0,45,0,0
AFRICA_2024_GLC_FCS30D_2022_37PEN_M_R,Water,42,37,69,29,53,32,0,0,0,52,4
AFRICA_2024_GLC_FCS30D_2022_37PEN_M_R,Cropland,41,0,48,27,48,21,5,0,0,56,26
AFRICA_2024_GLC_FCS30D_2022_37PEN_M_R,Wetland,2,7,14,2,16,0,2,0,0,15,0
AFRICA_2024_GLC_FCS30D_2022_37PEN_M_R,Bareland,31,26,0,29,20,6,4,0,0,31,8
AFRICA_2024_GLC_FCS30D_2022_37PEN_M_R,Built-up,10,13,10,0,8,1,0,0,0,12,6
AFRICA_2024_GLC_FCS30D_2022_37PEN_M_R,Forest,35,33,47,30,0,9,8,0,0,52,18
AFRICA_2024_GLC_FCS30D_2022_37PEN_M_R,Grassland,0,17,16,11,28,7,1,0,0,37,5
AFRICA_2024_ESRI_Annual_LULC_2024_37PEN_M_R,Grassland,0,52,1,29,25,9,21,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PEN_M_R,Wetland,0,22,0,12,5,0,27,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PEN_M_R,Bareland,0,47,0,33,10,0,48,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PEN_M_R,Built-up,0,4,1,0,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PEN_M_R,Water,0,72,5,29,22,16,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PEN_M_R,Forest,0,67,0,45,0,7,43,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PEN_M_R,Cropland,0,0,1,48,28,8,29,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PEN_M_R,Cropland,26,0,19,0,20,6,24,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PEN_M_R,Wetland,30,4,1,0,21,0,24,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PEN_M_R,Bareland,3,8,0,0,6,2,17,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PEN_M_R,Built-up,8,11,8,0,12,0,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PEN_M_R,Water,6,8,16,0,30,4,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PEN_M_R,Forest,13,13,6,0,0,1,12,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PEN_M_R,Grassland,0,4,6,0,4,2,4,0,0,0,0
