Dataset,MajorityClass,Cropland,Bareland,Wetland,Forest,Grassland,Built-up,Water,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_38PKC_M_R,Shrubland,1,2,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKC_M_R,Grassland,2,1,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKC_M_R,Cropland,0,24,3,11,12,9,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKC_M_R,Wetland,28,33,0,14,9,0,16,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKC_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKC_M_R,Bareland,40,0,26,8,27,19,28,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKC_M_R,Built-up,6,6,0,3,3,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKC_M_R,Forest,5,2,5,0,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKC_M_R,Water,19,49,29,9,14,2,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKC_M_R,Bareland,0,0,0,0,0,0,71,13,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKC_M_R,Wetland,0,0,0,0,0,0,62,22,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKC_M_R,Built-up,0,0,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKC_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKC_M_R,Water,0,0,0,0,0,0,0,20,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKC_M_R,Forest,0,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKC_M_R,Cropland,0,16,0,8,12,13,0,0,10,10,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKC_M_R,Bareland,53,0,40,3,14,31,11,0,33,11,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKC_M_R,Built-up,6,4,1,0,4,0,0,0,3,1,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKC_M_R,Water,34,54,68,1,3,11,0,0,16,4,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKC_M_R,Forest,16,4,3,0,3,1,0,0,1,1,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKC_M_R,Grassland,3,0,0,2,0,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKC_M_R,Wetland,14,30,0,0,1,4,2,0,1,2,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKC_M_R,Bareland,28,0,6,5,0,31,42,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKC_M_R,Built-up,2,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKC_M_R,Forest,9,0,0,0,0,2,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKC_M_R,Cropland,0,9,0,4,0,12,4,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKC_M_R,Wetland,2,12,0,33,0,14,60,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKC_M_R,Grassland,1,0,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKC_M_R,Water,2,36,8,0,0,11,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PKC_M_R,Water,0,0,39,0,0,0,0,0,0,0,31,0
AFRICA_2024_GWL_FCS30D_2022_38PKC_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,1,0
AFRICA_2024_GWL_FCS30D_2022_38PKC_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,52,0
AFRICA_2024_GWL_FCS30D_2022_38PKC_M_R,Cropland,0,0,0,0,0,0,0,0,0,0,5,0
AFRICA_2024_GWL_FCS30D_2022_38PKC_M_R,Bareland,0,0,22,0,0,0,3,0,0,0,39,0
AFRICA_2024_GWL_FCS30D_2022_38PKC_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PKC_M_R,Forest,0,0,1,0,0,0,0,0,0,0,4,0
AFRICA_2024_DynamicWorld_2024_38PKC_M_R,Cropland,0,19,2,7,3,0,11,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKC_M_R,Wetland,0,42,0,15,2,0,29,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKC_M_R,Grassland,1,2,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKC_M_R,Bareland,7,0,10,2,0,0,18,0,0,0,0,3
AFRICA_2024_DynamicWorld_2024_38PKC_M_R,Built-up,2,11,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKC_M_R,Forest,2,4,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKC_M_R,Water,0,38,8,2,0,0,0,0,0,0,0,8
