Value,AFRICA_2024_DynamicWorld_2024_36PTU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTU_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTU_M_R,AFRICA_2024_GSW_Yearly_2021_36PTU_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTU_M_R,AFRICA_2024_WorldCover_2021_36PTU_M_R
119,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
120,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
121,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
122,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
123,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
124,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
125,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
126,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
127,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
128,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
129,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
130,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
131,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
132,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
133,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
134,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
135,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
136,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
137,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
138,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
139,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
140,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
141,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
142,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
143,NULL,Forest,NULL,NULL,Non_Wetland,NULL
144,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
145,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
146,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
147,NULL,Forest,NULL,NULL,Non_Wetland,Forest
148,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
149,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
150,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
151,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
152,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
153,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
154,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
155,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
156,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
157,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
158,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
159,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
160,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
161,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
162,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
163,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
164,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
165,NULL,Forest,Wetland,NULL,Wetland,NULL
166,NULL,Forest,Wetland,NULL,Wetland,Grassland
167,NULL,Forest,Wetland,NULL,Wetland,Forest
168,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
169,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
170,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
171,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
172,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
173,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
174,NULL,Forest,Forest,NULL,Non_Wetland,NULL
175,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
176,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
177,NULL,Forest,Forest,NULL,Non_Wetland,Forest
178,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
179,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
180,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
181,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
182,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
183,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
184,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
185,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
186,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
187,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
188,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
189,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
190,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
191,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
192,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
193,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
194,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
195,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
196,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
197,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
198,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
199,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
200,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
201,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
202,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
203,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
204,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
205,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
206,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
207,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
208,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
209,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
210,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
211,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
212,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
213,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
214,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
215,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
216,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
217,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
218,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
219,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
220,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
221,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
222,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
223,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
224,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
225,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
226,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
227,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
228,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
229,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
230,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
231,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
232,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
233,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
234,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
235,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
236,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
237,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
238,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Water
239,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
240,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
241,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
242,Cropland,NULL,Grassland,Water,Non_Wetland,Water
243,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
244,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
245,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
246,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
247,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
248,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
249,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
250,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
251,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
252,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
253,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
254,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
255,Cropland,NULL,Cropland,Water,Non_Wetland,Water
256,Cropland,NULL,Wetland,NULL,Wetland,Forest
257,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
258,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
259,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
260,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
261,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Forest
262,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
263,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
264,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
265,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
266,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
267,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
268,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
269,Cropland,NULL,Built-up,Water,Non_Wetland,Cropland
270,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
271,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
272,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
273,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
274,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
275,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
276,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
277,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
278,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
279,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
280,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
281,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
282,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
283,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
284,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
285,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
286,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
287,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
288,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
289,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
290,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
291,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
292,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
293,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
294,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
295,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
296,Cropland,Cropland,Grassland,NULL,Non_Wetland,Water
297,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
298,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
299,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
300,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
301,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
302,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
303,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
304,Cropland,Cropland,Grassland,Water,Non_Wetland,Water
305,Cropland,Cropland,Grassland,Water,Non_Wetland,Forest
306,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
307,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
308,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
309,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
310,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
311,Cropland,Cropland,Cropland,NULL,Non_Wetland,Water
312,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
313,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
314,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
315,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Water
316,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland
317,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
318,Cropland,Cropland,Cropland,Water,Non_Wetland,Water
319,Cropland,Cropland,Wetland,NULL,Wetland,Forest
320,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
321,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
322,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
323,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
324,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
325,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
326,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
327,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
328,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
329,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
330,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
331,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
332,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
333,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
334,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
335,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
336,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL
337,Cropland,Bareland,NULL,NULL,Non_Wetland,Grassland
338,Cropland,Bareland,NULL,NULL,Non_Wetland,Cropland
339,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
340,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
341,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
342,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Forest
343,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
344,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
345,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
346,Cropland,Bareland,Grassland,NULL,Non_Wetland,Forest
347,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
348,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
349,Cropland,Bareland,Forest,NULL,Non_Wetland,Grassland
350,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
351,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
352,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
353,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
354,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
355,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
356,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
357,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
358,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
359,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
360,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
361,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
362,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
363,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
364,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
365,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
366,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
367,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
368,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
369,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
370,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
371,Cropland,Water,Grassland,NULL,Non_Wetland,Cropland
372,Cropland,Water,Grassland,NULL,Non_Wetland,Bareland
373,Cropland,Water,Grassland,NULL,Non_Wetland,Forest
374,Cropland,Water,Cropland,Non_Water,Non_Wetland,Grassland
375,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
376,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
377,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
378,Cropland,Forest,NULL,NULL,Non_Wetland,Wetland
379,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
380,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
381,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
382,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
383,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
384,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
385,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
386,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
387,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland
388,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
389,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
390,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
391,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
392,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
393,Cropland,Forest,Wetland,NULL,Wetland,Forest
394,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
395,Cropland,Forest,Bareland,NULL,Non_Wetland,Forest
396,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL
397,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland
398,Cropland,Forest,Built-up,NULL,Non_Wetland,Cropland
399,Cropland,Forest,Built-up,NULL,Non_Wetland,Forest
400,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
401,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
402,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland
403,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
404,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
405,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
406,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
407,Wetland,NULL,Cropland,NULL,Non_Wetland,Cropland
408,Wetland,Cropland,Grassland,NULL,Non_Wetland,NULL
409,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
410,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
411,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
412,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
413,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
414,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
415,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
416,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
