Value,AFRICA_2024_DynamicWorld_2024_35PMP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PMP_M_R,AFRICA_2024_GLC_FCS30D_2022_35PMP_M_R,AFRICA_2024_GSW_Yearly_2021_35PMP_M_R,AFRICA_2024_GWL_FCS30D_2022_35PMP_M_R,AFRICA_2024_WorldCover_2021_35PMP_M_R
120,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
121,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
122,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
123,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
124,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
125,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
126,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
127,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
128,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
129,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
130,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
131,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
132,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
133,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
134,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
135,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
136,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
137,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
138,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
139,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
140,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
141,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
142,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
143,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
144,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
145,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
146,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
147,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
148,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
149,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
150,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
151,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
152,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
153,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
154,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
155,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
156,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
157,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
158,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
159,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
160,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
161,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
162,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
163,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
164,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
165,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
166,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
167,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
168,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
169,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
170,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
171,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland
172,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
173,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
174,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
175,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
176,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
177,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
178,Bareland,Built-up,NULL,NULL,Non_Wetland,Grassland
179,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
180,Forest,NULL,NULL,NULL,Non_Wetland,NULL
181,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
182,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
183,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
184,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
185,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
186,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
187,Forest,NULL,Forest,NULL,Non_Wetland,NULL
188,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
189,Forest,Cropland,NULL,NULL,Non_Wetland,NULL
190,Forest,Cropland,NULL,NULL,Non_Wetland,Grassland
191,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL
192,Forest,Cropland,Grassland,NULL,Non_Wetland,Grassland
193,Forest,Forest,NULL,NULL,Non_Wetland,NULL
194,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
195,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
196,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
197,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
198,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
