Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Water,Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Non_Wetland
AFRICA_2024_WorldCover_2021_36PVC_M_R,Shrubland,1,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVC_M_R,Grassland,0,3,3,16,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVC_M_R,Cropland,66,0,67,93,35,39,17,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVC_M_R,Wetland,7,36,10,74,0,28,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVC_M_R,Lichens_and_Mosses,1,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVC_M_R,Bareland,63,57,0,56,32,38,14,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVC_M_R,Built-up,22,23,21,26,0,8,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVC_M_R,Water,31,75,65,85,7,0,11,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVC_M_R,Forest,6,4,3,0,1,1,1,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PVC_M_R,Water,49,91,41,0,54,0,55,29,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PVC_M_R,Cropland,78,0,52,21,61,9,23,39,21,0,0
AFRICA_2024_GLC_FCS30D_2022_36PVC_M_R,Wetland,4,23,5,1,11,0,0,1,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PVC_M_R,Bareland,72,58,0,9,58,6,9,45,23,0,0
AFRICA_2024_GLC_FCS30D_2022_36PVC_M_R,Built-up,21,20,15,2,0,0,0,12,7,0,0
AFRICA_2024_GLC_FCS30D_2022_36PVC_M_R,Forest,11,24,2,0,15,0,2,3,1,0,0
AFRICA_2024_GLC_FCS30D_2022_36PVC_M_R,Grassland,0,13,0,1,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PVC_M_R,Grassland,0,0,0,0,0,17,0,0,0,2,0
AFRICA_2024_GSW_Yearly_2021_36PVC_M_R,Cropland,0,0,0,0,0,152,0,0,0,28,0
AFRICA_2024_GSW_Yearly_2021_36PVC_M_R,Wetland,0,0,0,0,0,76,0,0,0,18,0
AFRICA_2024_GSW_Yearly_2021_36PVC_M_R,Bareland,0,0,0,0,0,124,0,0,0,16,0
AFRICA_2024_GSW_Yearly_2021_36PVC_M_R,Built-up,0,0,0,0,0,33,0,0,0,6,0
AFRICA_2024_GSW_Yearly_2021_36PVC_M_R,Water,0,0,0,0,0,0,0,0,0,83,0
AFRICA_2024_GSW_Yearly_2021_36PVC_M_R,Forest,0,0,0,0,0,5,0,0,0,2,0
AFRICA_2024_GWL_FCS30D_2022_36PVC_M_R,Forest,0,0,0,0,0,0,2,0,0,0,7
AFRICA_2024_GWL_FCS30D_2022_36PVC_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,48
AFRICA_2024_GWL_FCS30D_2022_36PVC_M_R,Water,0,0,0,0,0,0,55,0,0,0,20
AFRICA_2024_GWL_FCS30D_2022_36PVC_M_R,Cropland,0,0,0,0,0,9,23,0,0,0,51
AFRICA_2024_GWL_FCS30D_2022_36PVC_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,3
AFRICA_2024_GWL_FCS30D_2022_36PVC_M_R,Bareland,0,0,0,0,0,6,9,0,0,0,16
AFRICA_2024_ESRI_Annual_LULC_2024_36PVC_M_R,Water,0,72,36,0,52,0,8,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PVC_M_R,Grassland,0,11,4,0,13,2,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PVC_M_R,Wetland,0,26,5,0,32,20,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PVC_M_R,Bareland,0,68,0,0,71,26,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PVC_M_R,Built-up,0,2,3,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PVC_M_R,Forest,0,16,0,0,9,1,4,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PVC_M_R,Cropland,0,0,33,6,70,26,15,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PVC_M_R,Cropland,18,0,45,14,0,23,20,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PVC_M_R,Wetland,4,19,27,2,0,22,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PVC_M_R,Forest,2,5,2,0,0,3,2,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PVC_M_R,Water,2,32,59,0,0,0,22,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PVC_M_R,Grassland,0,8,9,2,0,3,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PVC_M_R,Bareland,0,21,0,2,0,11,2,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PVC_M_R,Built-up,0,18,27,1,0,8,0,0,0,0,0
