Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Water,Shrubland,Lichens_and_Mosses,Wetland
AFRICA_2024_WorldCover_2021_36PTA_M_R,Shrubland,1,1,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PTA_M_R,Grassland,0,1,1,1,1,0,0,0,0
AFRICA_2024_WorldCover_2021_36PTA_M_R,Cropland,23,0,15,18,3,0,0,0,0
AFRICA_2024_WorldCover_2021_36PTA_M_R,Lichens_and_Mosses,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PTA_M_R,Bareland,18,11,0,2,4,0,0,0,0
AFRICA_2024_WorldCover_2021_36PTA_M_R,Built-up,9,7,8,6,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PTA_M_R,Forest,5,2,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PTA_M_R,Grassland,0,0,0,0,0,2,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PTA_M_R,Bareland,0,0,0,0,0,1,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PTA_M_R,Cropland,21,0,6,2,10,0,18,3,1
AFRICA_2024_GLC_FCS30D_2022_36PTA_M_R,Bareland,16,8,0,0,8,0,10,4,0
AFRICA_2024_GLC_FCS30D_2022_36PTA_M_R,Built-up,7,5,3,1,0,0,5,1,0
AFRICA_2024_GLC_FCS30D_2022_36PTA_M_R,Forest,11,6,0,0,5,0,6,0,1
AFRICA_2024_ESRI_Annual_LULC_2024_36PTA_M_R,Grassland,0,3,2,3,3,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PTA_M_R,Cropland,0,0,2,0,18,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PTA_M_R,Bareland,0,9,0,1,17,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PTA_M_R,Forest,0,8,0,0,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PTA_M_R,Grassland,0,4,5,2,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PTA_M_R,Bareland,0,3,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PTA_M_R,Built-up,0,4,5,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PTA_M_R,Forest,0,1,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PTA_M_R,Cropland,0,0,7,1,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PTA_M_R,Cropland,0,0,0,0,0,0,0,0,1
AFRICA_2024_GWL_FCS30D_2022_36PTA_M_R,Forest,0,0,0,0,0,0,0,0,1
