Dataset,MajorityClass,Grassland,Bareland,Cropland,Shrubland,Built-up,Lichens_and_Mosses,Forest,Wetland,Water,Non_Wetland
AFRICA_2024_WorldCover_2021_36PTC_M_R,Shrubland,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PTC_M_R,Grassland,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PTC_M_R,Cropland,5,3,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PTC_M_R,Bareland,12,0,3,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PTC_M_R,Built-up,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PTC_M_R,Cropland,2,1,0,3,1,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PTC_M_R,Bareland,8,0,3,8,5,1,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PTC_M_R,Forest,1,0,0,1,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PTC_M_R,Grassland,0,3,2,0,0,0,1,0,0,0
AFRICA_2024_DynamicWorld_2024_36PTC_M_R,Bareland,0,0,1,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PTC_M_R,Cropland,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PTC_M_R,Grassland,0,1,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PTC_M_R,Bareland,0,0,5,0,0,0,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_36PTC_M_R,Bareland,0,0,0,0,0,0,0,0,5,0
AFRICA_2024_GWL_FCS30D_2022_36PTC_M_R,Bareland,0,0,0,0,0,0,0,0,0,1
