Dataset,MajorityClass,Grassland,Wetland,Built-up,Forest,Bareland,Cropland,Non_Wetland,Water,Shrubland
AFRICA_2024_WorldCover_2021_35NNF_M_R,Shrubland,1,1,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNF_M_R,Grassland,0,4,1,8,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNF_M_R,Cropland,14,0,3,4,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNF_M_R,Wetland,7,0,0,6,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNF_M_R,Bareland,4,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNF_M_R,Built-up,8,0,0,6,2,3,0,0,0
AFRICA_2024_WorldCover_2021_35NNF_M_R,Forest,34,9,14,0,1,3,0,0,0
AFRICA_2024_WorldCover_2021_35NNF_M_R,Water,4,1,0,4,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NNF_M_R,Shrubland,0,0,0,0,0,0,1,0,0
AFRICA_2024_GWL_FCS30D_2022_35NNF_M_R,Forest,0,3,0,0,0,0,14,1,0
AFRICA_2024_GWL_FCS30D_2022_35NNF_M_R,Grassland,0,0,0,0,0,0,5,0,0
AFRICA_2024_GWL_FCS30D_2022_35NNF_M_R,Wetland,0,0,0,0,0,0,10,0,0
AFRICA_2024_GWL_FCS30D_2022_35NNF_M_R,Water,0,2,0,0,0,0,1,0,0
AFRICA_2024_GLC_FCS30D_2022_35NNF_M_R,Cropland,0,0,1,5,0,0,0,0,5
AFRICA_2024_GLC_FCS30D_2022_35NNF_M_R,Built-up,2,0,0,5,0,5,0,0,8
AFRICA_2024_GLC_FCS30D_2022_35NNF_M_R,Forest,9,3,10,0,6,17,0,1,18
AFRICA_2024_GLC_FCS30D_2022_35NNF_M_R,Grassland,0,0,1,4,1,7,0,0,6
AFRICA_2024_GLC_FCS30D_2022_35NNF_M_R,Wetland,0,0,0,5,0,0,0,0,3
AFRICA_2024_GLC_FCS30D_2022_35NNF_M_R,Bareland,0,0,0,1,0,0,0,0,1
AFRICA_2024_GLC_FCS30D_2022_35NNF_M_R,Water,0,2,0,4,0,0,0,0,3
AFRICA_2024_ESRI_Annual_LULC_2024_35NNF_M_R,Forest,0,5,17,0,0,2,0,2,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NNF_M_R,Grassland,0,1,2,11,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NNF_M_R,Built-up,0,0,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NNF_M_R,Cropland,0,0,8,2,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NNF_M_R,Forest,7,1,0,0,0,5,0,4,0
AFRICA_2024_DynamicWorld_2024_35NNF_M_R,Grassland,0,0,0,2,0,1,0,0,0
AFRICA_2024_DynamicWorld_2024_35NNF_M_R,Built-up,0,0,0,7,0,3,0,0,0
AFRICA_2024_DynamicWorld_2024_35NNF_M_R,Wetland,0,0,0,3,0,0,0,3,0
AFRICA_2024_DynamicWorld_2024_35NNF_M_R,Cropland,0,0,0,1,0,0,0,0,0
