Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_38PKB_M_R,Shrubland,1,1,3,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKB_M_R,Grassland,0,2,1,1,1,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKB_M_R,Cropland,19,0,34,18,24,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKB_M_R,Wetland,4,17,25,0,4,0,17,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKB_M_R,Lichens_and_Mosses,1,1,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKB_M_R,Bareland,33,34,0,31,13,20,28,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKB_M_R,Built-up,8,9,14,0,11,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKB_M_R,Water,14,21,63,6,13,41,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKB_M_R,Forest,1,5,4,0,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKB_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKB_M_R,Bareland,0,0,0,0,0,0,84,7,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKB_M_R,Built-up,0,0,0,0,0,0,17,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKB_M_R,Cropland,0,0,0,0,0,0,14,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKB_M_R,Wetland,0,0,0,0,0,0,54,16,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKB_M_R,Grassland,0,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKB_M_R,Water,0,0,0,0,0,0,0,16,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKB_M_R,Forest,0,0,0,0,0,0,2,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PKB_M_R,Grassland,0,0,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PKB_M_R,Bareland,0,0,0,0,0,18,3,0,29,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PKB_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PKB_M_R,Water,0,0,0,0,0,46,0,0,34,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PKB_M_R,Cropland,0,0,0,0,0,1,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PKB_M_R,Wetland,0,0,0,0,0,0,2,0,22,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PKB_M_R,Forest,0,0,0,0,0,3,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKB_M_R,Cropland,29,0,27,19,1,1,0,0,0,21,15,0
AFRICA_2024_GLC_FCS30D_2022_38PKB_M_R,Bareland,39,38,0,38,0,32,7,0,0,37,22,0
AFRICA_2024_GLC_FCS30D_2022_38PKB_M_R,Built-up,14,7,12,0,0,1,0,0,0,10,6,0
AFRICA_2024_GLC_FCS30D_2022_38PKB_M_R,Water,20,22,70,25,0,69,0,0,0,19,2,0
AFRICA_2024_GLC_FCS30D_2022_38PKB_M_R,Forest,13,11,3,2,0,3,0,0,0,3,3,0
AFRICA_2024_GLC_FCS30D_2022_38PKB_M_R,Wetland,0,4,16,2,0,0,4,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKB_M_R,Bareland,0,44,0,49,0,4,23,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKB_M_R,Built-up,0,2,2,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKB_M_R,Grassland,0,3,2,2,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKB_M_R,Cropland,0,0,19,15,4,0,3,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKB_M_R,Wetland,0,5,10,3,10,0,28,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKB_M_R,Water,0,22,42,19,0,10,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKB_M_R,Forest,0,4,0,5,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKB_M_R,Bareland,1,11,0,0,0,8,22,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKB_M_R,Grassland,0,2,4,0,0,0,2,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKB_M_R,Built-up,0,6,19,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKB_M_R,Forest,0,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKB_M_R,Water,0,0,27,0,2,14,0,0,0,0,0,2
AFRICA_2024_DynamicWorld_2024_38PKB_M_R,Cropland,0,0,20,0,7,0,6,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKB_M_R,Wetland,0,0,21,0,12,0,28,0,0,0,0,0
