Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_36NTP_M_R,Shrubland,3,3,2,1,1,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NTP_M_R,Grassland,0,47,2,1,5,10,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NTP_M_R,Cropland,51,50,7,4,13,11,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NTP_M_R,Wetland,90,0,11,4,35,56,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NTP_M_R,Bareland,19,18,0,2,2,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NTP_M_R,Built-up,13,10,6,0,2,5,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NTP_M_R,Water,68,112,6,3,0,60,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NTP_M_R,Forest,66,79,13,2,15,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTP_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTP_M_R,Grassland,0,9,0,0,3,0,67,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTP_M_R,Cropland,0,3,0,0,0,0,58,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTP_M_R,Bareland,0,0,0,0,0,0,18,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTP_M_R,Built-up,0,1,0,0,0,0,11,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTP_M_R,Forest,0,15,0,0,12,0,139,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTP_M_R,Wetland,0,0,0,0,21,0,246,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTP_M_R,Water,0,25,0,0,0,0,92,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NTP_M_R,Shrubland,0,0,0,0,4,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NTP_M_R,Grassland,0,0,0,0,32,0,0,2,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NTP_M_R,Cropland,0,0,0,0,37,0,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NTP_M_R,Wetland,0,0,0,0,114,0,0,26,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NTP_M_R,Bareland,0,0,0,0,15,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NTP_M_R,Built-up,0,0,0,0,6,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NTP_M_R,Forest,0,0,0,0,73,0,0,4,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NTP_M_R,Water,0,0,0,0,0,0,0,39,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36NTP_M_R,Water,5,25,28,3,0,40,0,0,64,17,0
AFRICA_2024_GLC_FCS30D_2022_36NTP_M_R,Cropland,10,3,12,10,0,18,0,0,45,0,0
AFRICA_2024_GLC_FCS30D_2022_36NTP_M_R,Wetland,11,0,34,10,21,45,0,0,74,23,0
AFRICA_2024_GLC_FCS30D_2022_36NTP_M_R,Bareland,3,0,0,8,0,2,0,0,16,4,0
AFRICA_2024_GLC_FCS30D_2022_36NTP_M_R,Built-up,4,1,2,0,0,2,0,0,8,3,0
AFRICA_2024_GLC_FCS30D_2022_36NTP_M_R,Forest,6,15,21,9,12,0,0,0,79,18,1
AFRICA_2024_GLC_FCS30D_2022_36NTP_M_R,Grassland,0,9,15,5,3,19,0,0,35,8,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NTP_M_R,Water,0,79,12,0,0,47,0,0,0,15,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NTP_M_R,Grassland,0,21,0,4,14,22,0,0,0,20,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NTP_M_R,Wetland,0,0,9,7,44,61,0,0,0,41,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NTP_M_R,Built-up,0,1,0,0,0,0,0,0,0,1,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NTP_M_R,Forest,0,43,0,8,13,0,0,0,0,18,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NTP_M_R,Bareland,0,0,0,2,0,1,0,0,0,8,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NTP_M_R,Cropland,0,9,0,9,2,12,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NTP_M_R,Water,37,40,4,0,0,38,0,0,0,17,0
AFRICA_2024_DynamicWorld_2024_36NTP_M_R,Wetland,57,0,0,0,46,50,0,0,0,33,0
AFRICA_2024_DynamicWorld_2024_36NTP_M_R,Forest,17,25,0,0,10,0,0,0,0,17,0
AFRICA_2024_DynamicWorld_2024_36NTP_M_R,Grassland,0,1,3,0,1,2,0,0,0,4,0
AFRICA_2024_DynamicWorld_2024_36NTP_M_R,Bareland,0,0,0,0,0,0,0,0,0,1,0
AFRICA_2024_DynamicWorld_2024_36NTP_M_R,Built-up,0,0,1,0,0,0,0,0,0,5,0
AFRICA_2024_DynamicWorld_2024_36NTP_M_R,Cropland,0,0,2,0,0,1,0,0,0,0,0
