Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Shrubland,Built-up,Lichens_and_Mosses,Water
AFRICA_2024_WorldCover_2021_35PPT_M_R,Shrubland,1,1,1,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35PPT_M_R,Grassland,0,1,1,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35PPT_M_R,Cropland,17,0,11,11,0,0,0,0
AFRICA_2024_WorldCover_2021_35PPT_M_R,Bareland,18,4,0,8,0,0,0,0
AFRICA_2024_WorldCover_2021_35PPT_M_R,Built-up,1,0,1,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35PPT_M_R,Forest,16,1,8,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PPT_M_R,Cropland,8,0,3,5,11,8,0,0
AFRICA_2024_GLC_FCS30D_2022_35PPT_M_R,Bareland,14,3,0,3,13,7,3,0
AFRICA_2024_GLC_FCS30D_2022_35PPT_M_R,Forest,9,8,1,0,10,11,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PPT_M_R,Grassland,0,2,2,3,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PPT_M_R,Cropland,0,0,2,7,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PPT_M_R,Bareland,0,5,0,6,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PPT_M_R,Forest,0,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PPT_M_R,Grassland,0,3,3,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PPT_M_R,Bareland,0,5,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PPT_M_R,Forest,0,7,3,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PPT_M_R,Bareland,0,0,0,0,0,0,0,4
