Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Non_Water,Shrubland,Lichens_and_Mosses,Wetland
AFRICA_2024_WorldCover_2021_36QZD_M_R,Shrubland,2,2,3,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QZD_M_R,Grassland,0,7,4,1,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QZD_M_R,Cropland,29,0,24,2,18,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QZD_M_R,Wetland,1,2,2,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QZD_M_R,Lichens_and_Mosses,2,2,2,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QZD_M_R,Bareland,38,24,0,5,12,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QZD_M_R,Built-up,8,4,9,0,4,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QZD_M_R,Forest,22,16,10,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36QZD_M_R,Water,7,7,6,0,2,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QZD_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QZD_M_R,Grassland,0,0,0,0,0,4,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QZD_M_R,Wetland,0,0,0,0,0,2,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QZD_M_R,Bareland,0,0,0,0,0,9,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QZD_M_R,Built-up,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36QZD_M_R,Cropland,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36QZD_M_R,Cropland,21,0,11,8,12,0,0,12,11,0
AFRICA_2024_GLC_FCS30D_2022_36QZD_M_R,Bareland,25,14,0,16,9,0,0,21,16,0
AFRICA_2024_GLC_FCS30D_2022_36QZD_M_R,Built-up,5,5,3,0,1,0,0,2,4,0
AFRICA_2024_GLC_FCS30D_2022_36QZD_M_R,Forest,14,13,5,3,0,0,0,10,7,0
AFRICA_2024_GLC_FCS30D_2022_36QZD_M_R,Grassland,0,2,0,0,4,0,0,2,0,0
AFRICA_2024_GLC_FCS30D_2022_36QZD_M_R,Water,6,2,4,3,1,0,0,4,4,1
AFRICA_2024_ESRI_Annual_LULC_2024_36QZD_M_R,Grassland,0,3,6,1,2,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QZD_M_R,Bareland,0,17,0,2,5,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QZD_M_R,Built-up,0,1,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QZD_M_R,Forest,0,2,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QZD_M_R,Cropland,0,0,11,1,12,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36QZD_M_R,Water,0,0,2,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36QZD_M_R,Cropland,1,0,6,0,1,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36QZD_M_R,Grassland,0,3,3,0,3,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36QZD_M_R,Bareland,0,8,0,0,0,7,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36QZD_M_R,Forest,0,6,4,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36QZD_M_R,Wetland,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36QZD_M_R,Water,0,0,0,0,0,0,0,0,0,1
